base_variable,wave_1,wave_2,wave_3,wave_4,wave_5,wave_6,n_waves
a002_age,1,1,1,1,1,1,6
a002m,1,1,1,1,1,1,6
a002y,1,1,1,1,1,1,6
a003,1,1,1,1,1,1,6
a030,1,1,1,1,1,1,6
a032,1,1,1,1,1,1,6
a035_01,1,1,1,1,1,1,6
a035_02,1,1,1,1,1,1,6
a035_03,1,1,1,1,1,1,6
a035_04,1,1,1,1,1,1,6
a035_05,1,1,1,1,1,1,6
a035_06,1,1,1,1,1,1,6
a035_07,1,1,1,1,1,1,6
addic,1,1,1,1,1,1,6
adl,1,1,1,1,1,1,6
agriculture,1,1,1,1,1,1,6
alc,1,1,1,1,1,1,6
annuity,1,1,1,1,1,1,6
assetinc,1,1,1,1,1,1,6
ba003,1,1,1,1,1,1,6
ba068,1,1,1,1,1,1,6
ba075,1,1,1,1,1,1,6
ba_resp,1,1,1,1,1,1,6
bb_adl1,1,1,1,1,1,1,6
bb_adl2,1,1,1,1,1,1,6
bb_adl3,1,1,1,1,1,1,6
bb_adl_num1,1,1,1,1,1,1,6
bb_adl_num2,1,1,1,1,1,1,6
bb_adl_num3,1,1,1,1,1,1,6
bm3,1,1,1,1,1,1,6
bm4,1,1,1,1,1,1,6
bm5,1,1,1,1,1,1,6
bm6,1,1,1,1,1,1,6
bmi,1,1,1,1,1,1,6
bp1,1,1,1,1,1,1,6
bp1_1,1,1,1,1,1,1,6
bp1_2,1,1,1,1,1,1,6
bp3,1,1,1,1,1,1,6
bp4,1,1,1,1,1,1,6
bp5,1,1,1,1,1,1,6
bp6,1,1,1,1,1,1,6
businessfarm,1,1,1,1,1,1,6
c001,1,1,1,1,1,1,6
c003,1,1,1,1,1,1,6
c005,1,1,1,1,1,1,6
c007m,1,1,1,1,1,1,6
c007y,1,1,1,1,1,1,6
c012m,1,1,1,1,1,1,6
c012y,1,1,1,1,1,1,6
c017m,1,1,1,1,1,1,6
c017y,1,1,1,1,1,1,6
c024m,1,1,1,1,1,1,6
c024y,1,1,1,1,1,1,6
c029m,1,1,1,1,1,1,6
c029y,1,1,1,1,1,1,6
c034m,1,1,1,1,1,1,6
c034y,1,1,1,1,1,1,6
c039m,1,1,1,1,1,1,6
c039y,1,1,1,1,1,1,6
c044m,1,1,1,1,1,1,6
c044y,1,1,1,1,1,1,6
c049m,1,1,1,1,1,1,6
c049y,1,1,1,1,1,1,6
c056,1,1,1,1,1,1,6
c064m,1,1,1,1,1,1,6
c064y,1,1,1,1,1,1,6
c068,1,1,1,1,1,1,6
c081,1,1,1,1,1,1,6
c082,1,1,1,1,1,1,6
c085,1,1,1,1,1,1,6
c102,1,1,1,1,1,1,6
c105,1,1,1,1,1,1,6
c106,1,1,1,1,1,1,6
c107,1,1,1,1,1,1,6
c108,1,1,1,1,1,1,6
c109,1,1,1,1,1,1,6
c111,1,1,1,1,1,1,6
c112,1,1,1,1,1,1,6
c124m,1,1,1,1,1,1,6
c124y,1,1,1,1,1,1,6
c126,1,1,1,1,1,1,6
c127,1,1,1,1,1,1,6
c128,1,1,1,1,1,1,6
c129,1,1,1,1,1,1,6
c130,1,1,1,1,1,1,6
c131,1,1,1,1,1,1,6
c132,1,1,1,1,1,1,6
c133,1,1,1,1,1,1,6
c134,1,1,1,1,1,1,6
c135,1,1,1,1,1,1,6
c142,1,1,1,1,1,1,6
c143,1,1,1,1,1,1,6
c144,1,1,1,1,1,1,6
c145,1,1,1,1,1,1,6
c146,1,1,1,1,1,1,6
c147,1,1,1,1,1,1,6
c148,1,1,1,1,1,1,6
c149,1,1,1,1,1,1,6
c150,1,1,1,1,1,1,6
c151,1,1,1,1,1,1,6
c152,1,1,1,1,1,1,6
c201,1,1,1,1,1,1,6
c202,1,1,1,1,1,1,6
c203,1,1,1,1,1,1,6
c204,1,1,1,1,1,1,6
c205,1,1,1,1,1,1,6
c206,1,1,1,1,1,1,6
c207,1,1,1,1,1,1,6
c208,1,1,1,1,1,1,6
c209,1,1,1,1,1,1,6
c210,1,1,1,1,1,1,6
c211,1,1,1,1,1,1,6
c212,1,1,1,1,1,1,6
c213,1,1,1,1,1,1,6
c214,1,1,1,1,1,1,6
c215,1,1,1,1,1,1,6
c216,1,1,1,1,1,1,6
c217,1,1,1,1,1,1,6
c301,1,1,1,1,1,1,6
c302,1,1,1,1,1,1,6
c303,1,1,1,1,1,1,6
c304,1,1,1,1,1,1,6
c305,1,1,1,1,1,1,6
c306,1,1,1,1,1,1,6
c309,1,1,1,1,1,1,6
c310,1,1,1,1,1,1,6
c311,1,1,1,1,1,1,6
c312,1,1,1,1,1,1,6
c313,1,1,1,1,1,1,6
c318,1,1,1,1,1,1,6
c330,1,1,1,1,1,1,6
c333,1,1,1,1,1,1,6
c334,1,1,1,1,1,1,6
c337,1,1,1,1,1,1,6
c340,1,1,1,1,1,1,6
c343,1,1,1,1,1,1,6
c346,1,1,1,1,1,1,6
c550,1,1,1,1,1,1,6
