,tipo,no_nulos,nulos,porcentaje_nulos,valores_unicos
g013,float64,0,6560,100.0,0
a035_07,float64,1,6559,99.98475609756098,1
g014,float64,1,6559,99.98475609756098,1
industrial,float64,4,6556,99.9390243902439,3
businessfarm,float64,6,6554,99.90853658536587,6
unemployment,float64,12,6548,99.8170731707317,10
personal,float64,15,6545,99.77134146341463,15
d_com108,float64,20,6540,99.6951219512195,6
g012,float64,35,6525,99.46646341463415,9
bb_adl_num3,float64,38,6522,99.42073170731707,1
d_com101,float64,38,6522,99.42073170731707,18
d_com102,float64,38,6522,99.42073170731707,18
d_com098,float64,41,6519,99.375,2
a035_06,float64,44,6516,99.32926829268293,8
d_com060,float64,52,6508,99.20731707317073,2
exploit,float64,52,6508,99.20731707317073,26
other,float64,58,6502,99.1158536585366,33
d_com138,float64,65,6495,99.00914634146342,5
d_com093,float64,75,6485,98.85670731707317,4
d_com095,float64,75,6485,98.85670731707317,21
l_sum,float64,76,6484,98.84146341463415,3
realestateinc,float64,84,6476,98.71951219512195,40
c135,float64,91,6469,98.61280487804878,8
c133,float64,99,6461,98.49085365853658,11
d_com110,float64,104,6456,98.41463414634146,8
d_com107,float64,105,6455,98.39939024390245,2
c024m,float64,108,6452,98.35365853658537,13
c024y,float64,108,6452,98.35365853658537,36
pensionins,float64,108,6452,98.35365853658537,95
guarantee,float64,112,6448,98.29268292682927,45
sideline,float64,116,6444,98.23170731707317,36
size_c,float64,125,6435,98.09451219512195,11
c044m,float64,130,6430,98.01829268292683,13
c044y,float64,130,6430,98.01829268292683,24
d_com105,float64,134,6426,97.95731707317074,2
fromothers,float64,134,6426,97.95731707317074,44
c017m,float64,141,6419,97.85060975609755,13
c017y,float64,141,6419,97.85060975609755,23
d_com125,float64,143,6417,97.8201219512195,4
d_com137,float64,143,6417,97.8201219512195,5
d_com118,float64,143,6417,97.8201219512195,6
d_com130,float64,143,6417,97.8201219512195,22
g011,float64,144,6416,97.80487804878048,11
c039m,float64,151,6409,97.69817073170731,13
c039y,float64,151,6409,97.69817073170731,23
fromparent,float64,153,6407,97.66768292682927,19
c064m,float64,161,6399,97.54573170731707,13
c064y,float64,161,6399,97.54573170731707,20
d_com106,float64,162,6398,97.53048780487805,2
particular,float64,163,6397,97.51524390243902,57
d_com068,float64,183,6377,97.21036585365853,2
d_com015,float64,199,6361,96.96646341463413,30
a035_05,float64,206,6354,96.85975609756098,9
toothers,float64,248,6312,96.21951219512195,37
d_com104,float64,267,6293,95.9298780487805,2
c034m,float64,281,6279,95.71646341463415,13
c034y,float64,281,6279,95.71646341463415,26
wholelifeins,float64,285,6275,95.65548780487805,214
house_sum,float64,309,6251,95.28963414634146,66
c309,float64,359,6201,94.52743902439025,3
a035_03,float64,369,6191,94.375,10
bp1_2,float64,400,6160,93.90243902439023,3
g010,float64,413,6147,93.70426829268293,11
regularins,float64,418,6142,93.6280487804878,339
d_com025,float64,454,6106,93.07926829268293,17
c131,float64,465,6095,92.91158536585365,15
bb_adl_num1,float64,486,6074,92.59146341463415,5
bb_adl_num2,float64,486,6074,92.59146341463415,5
f013_n,float64,510,6050,92.22560975609755,67
