,tipo,nulos_totales,porcentaje_nulos,valores_unicos_observados
g013,float64,6560,100.0,0
g014,float64,6559,99.98475609756098,1
a035_07,float64,6559,99.98475609756098,1
industrial,float64,6556,99.9390243902439,3
businessfarm,float64,6555,99.92378048780488,5
unemployment,float64,6549,99.83231707317073,9
personal,float64,6545,99.77134146341463,15
d_com108,float64,6540,99.6951219512195,6
size_c,float64,6536,99.63414634146342,9
d_com102,float64,6526,99.48170731707317,16
g012,float64,6525,99.46646341463415,9
d_com101,float64,6525,99.46646341463415,17
bb_adl_num3,float64,6522,99.42073170731707,1
d_com098,float64,6519,99.375,2
a035_06,float64,6516,99.32926829268293,8
exploit,float64,6509,99.22256097560975,25
d_com060,float64,6508,99.20731707317073,2
c024m,float64,6508,99.20731707317073,12
other,float64,6503,99.13109756097562,32
c044m,float64,6501,99.10060975609755,12
d_com138,float64,6495,99.00914634146342,5
d_com093,float64,6493,98.97865853658536,3
d_com095,float64,6493,98.97865853658536,19
l_sum,float64,6484,98.84146341463415,3
realestateinc,float64,6476,98.71951219512195,40
c064m,float64,6474,98.6890243902439,12
c135,float64,6469,98.61280487804878,8
c039m,float64,6468,98.59756097560975,12
c133,float64,6461,98.49085365853658,11
c017m,float64,6461,98.49085365853658,12
c024y,float64,6457,98.42987804878048,35
pensionins,float64,6456,98.41463414634146,94
d_com110,float64,6456,98.41463414634146,8
d_com107,float64,6455,98.39939024390245,2
guarantee,float64,6448,98.29268292682927,45
sideline,float64,6447,98.27743902439025,34
c044y,float64,6434,98.07926829268293,23
fromothers,float64,6429,98.0030487804878,43
d_com105,float64,6426,97.95731707317074,2
c034m,float64,6424,97.92682926829268,12
c017y,float64,6419,97.85060975609755,23
d_com125,float64,6418,97.83536585365854,3
d_com137,float64,6417,97.8201219512195,5
d_com118,float64,6417,97.8201219512195,6
d_com130,float64,6417,97.8201219512195,22
g011,float64,6416,97.80487804878048,11
c039y,float64,6410,97.71341463414635,22
fromparent,float64,6409,97.69817073170731,18
c064y,float64,6399,97.54573170731707,20
d_com106,float64,6398,97.53048780487805,2
particular,float64,6397,97.51524390243902,57
d_com015,float64,6380,97.2560975609756,28
d_com068,float64,6377,97.21036585365853,2
a035_05,float64,6354,96.85975609756098,9
toothers,float64,6328,96.46341463414633,36
d_com104,float64,6293,95.9298780487805,2
c034y,float64,6286,95.82317073170732,25
wholelifeins,float64,6279,95.71646341463415,213
house_sum,float64,6272,95.60975609756098,64
c012m,float64,6232,95.0,12
c309,float64,6202,94.54268292682927,2
a035_03,float64,6191,94.375,10
bp1_2,float64,6160,93.90243902439023,3
regularins,float64,6149,93.73475609756098,338
g010,float64,6147,93.70426829268293,11
d_com025,float64,6111,93.15548780487805,15
c131,float64,6095,92.91158536585365,15
bb_adl_num2,float64,6074,92.59146341463415,5
bb_adl_num1,float64,6074,92.59146341463415,5
f013_n,float64,6073,92.57621951219512,65
c049m,float64,6044,92.13414634146342,12
d_com139m,float64,6002,91.49390243902438,12
bp5,float64,5991,91.32621951219512,10
bp3,float64,5991,91.32621951219512,3
bp4,float64,5991,91.32621951219512,4
bp6,float64,5991,91.32621951219512,10
g003,float64,5948,90.67073170731707,11
agriculture,float64,5938,90.51829268292683,59
national,float64,5927,90.35060975609757,89
oopm1,float64,5926,90.33536585365853,73
n_days,float64,5898,89.90853658536585,51
c012y,float64,5896,89.8780487804878,36
insurance,float64,5892,89.8170731707317,484
target1,float64,5883,89.6798780487805,2
g004,float64,5866,89.42073170731707,11
socialwelfare,float64,5791,88.27743902439025,32
g009,float64,5790,88.26219512195121,11
financial,float64,5786,88.20121951219512,47
annuity,float64,5780,88.10975609756098,126
tochildren,float64,5745,87.57621951219512,113
assetinc,float64,5728,87.3170731707317,85
c007m,float64,5715,87.1189024390244,12
socialsecurity,float64,5665,86.35670731707317,88
d_com145,float64,5653,86.17378048780488,7
c124m,float64,5641,85.99085365853658,12
toparent,float64,5614,85.57926829268293,52
c049y,float64,5538,84.42073170731707,39
g008,float64,5515,84.0701219512195,11
selfemployed,float64,5509,83.97865853658537,79
d_com139y,float64,5472,83.41463414634146,40
d_com142,float64,5469,83.3689024390244,11
d_com157,float64,5462,83.26219512195122,2
d_com140,float64,5462,83.26219512195122,12
d_com149,float64,5462,83.26219512195122,2
d_com144,float64,5462,83.26219512195122,2
c129,float64,5396,82.2560975609756,21
d_com037,float64,5355,81.6310975609756,60
bm4,float64,5312,80.97560975609757,4
bm5,float64,5312,80.97560975609757,10
bm6,float64,5312,80.97560975609757,10
bm3,float64,5312,80.97560975609757,3
d_com052,float64,5300,80.79268292682927,93
d_com057,float64,5275,80.41158536585365,4
d_com053,float64,5274,80.39634146341463,4
d_com081,float64,5274,80.39634146341463,4
d_com055,float64,5274,80.39634146341463,2
d_com014,float64,5273,80.38109756097562,2
d_com054,float64,5273,80.38109756097562,3
d_com082,float64,5273,80.38109756097562,4
d_com049,float64,5273,80.38109756097562,8
d_com024,float64,5273,80.38109756097562,2
full_parttime,float64,5273,80.38109756097562,2
d_com056,float64,5273,80.38109756097562,2
