,nulos_antes,nulos_despues,nuevos_nulos_por_codigos,porcentaje_nulos_despues
c124m,3646,5641,1995,85.99085365853658
c306,367,2356,1989,35.91463414634146
job_startm,3728,5052,1324,77.01219512195122
c007m,4843,5715,872,87.1189024390244
pnetassets,1287,2135,848,32.545731707317074
passets,1418,2243,825,34.19207317073171
d_com139m,5462,6002,540,91.49390243902438
c049m,5508,6044,536,92.13414634146342
financialasset,3237,3706,469,56.49390243902439
hhinc,0,431,431,6.570121951219512
realestate,2921,3311,390,50.47256097560976
ecoact_s,0,375,375,5.716463414634147
edu_s,0,356,356,5.426829268292683
c012m,5887,6232,345,95.0
residence,3131,3451,320,52.60670731707317
pinc,1277,1552,275,23.65853658536585
c124y,3646,3870,224,58.993902439024396
assetinc,5572,5728,156,87.3170731707317
financial,5630,5786,156,88.20121951219512
c034m,6279,6424,145,97.92682926829268
size_n,4957,5083,126,77.48475609756098
c107,0,115,115,1.753048780487805
size_c,6435,6536,101,99.63414634146342
earned,3688,3782,94,57.65243902439025
job,3728,3817,89,58.1859756097561
oopm2,1402,1489,87,22.698170731707318
d_com001,5022,5104,82,77.8048780487805
ind,3728,3806,78,58.018292682926834
job_starty,3728,3804,76,57.98780487804878
c064m,6399,6474,75,98.6890243902439
d_com037,5281,5355,74,81.6310975609756
c044m,6430,6501,71,99.10060975609755
pliabilities,4968,5033,65,76.72256097560975
c039m,6409,6468,59,98.59756097560975
c024m,6452,6508,56,99.20731707317073
otherasset,4924,4980,56,75.91463414634147
c105,0,42,42,0.6402439024390244
c017m,6419,6461,42,98.49085365853658
year2,0,39,39,0.5945121951219512
wage,5190,5229,39,79.71036585365854
c312,4141,4179,38,63.70426829268293
selfemployed,5474,5509,35,83.97865853658537
d_com052,5266,5300,34,80.79268292682927
c049y,5508,5538,30,84.42073170731707
oopm1,5897,5926,29,90.33536585365853
transferfrom,3569,3595,26,54.80182926829268
f013_n,6050,6073,23,92.57621951219512
c007y,4843,4866,23,74.17682926829269
fromchildren,3721,3743,22,57.05792682926829
house_sum,6251,6272,21,95.60975609756098
d_com096,3585,3605,20,54.954268292682926
d_com015,6361,6380,19,97.2560975609756
agriculture,5919,5938,19,90.51829268292683
toothers,6312,6328,16,96.46341463414633
s_sum,0,16,16,0.24390243902439024
transferto,4850,4861,11,74.10060975609755
insurance,5881,5892,11,89.8170731707317
d_com139y,5462,5472,10,83.41463414634146
d_com031,3728,3738,10,56.98170731707317
c012y,5887,5896,9,89.8780487804878
tochildren,5736,5745,9,87.57621951219512
d_com057,5266,5275,9,80.41158536585365
d_com095,6485,6493,8,98.97865853658536
d_com053,5266,5274,8,80.39634146341463
ba068,0,8,8,0.12195121951219512
c301,0,8,8,0.12195121951219512
c068,2754,2762,8,42.103658536585364
d_com055,5266,5274,8,80.39634146341463
d_com093,6485,6493,8,98.97865853658536
d_com081,5266,5274,8,80.39634146341463
chronic_j,3806,3813,7,58.12500000000001
d_com024,5266,5273,7,80.38109756097562
c034y,6279,6286,7,95.82317073170732
regularins,6142,6149,7,93.73475609756098
status,3728,3735,7,56.9359756097561
d_com085,3987,3994,7,60.88414634146342
d_com089,3728,3735,7,56.9359756097561
d_com090,3728,3735,7,56.9359756097561
d_com092,3728,3735,7,56.9359756097561
d_com142,5462,5469,7,83.3689024390244
publictrans,5058,5065,7,77.21036585365853
full_parttime,5266,5273,7,80.38109756097562
d_com075,3728,3735,7,56.9359756097561
d_com056,5266,5273,7,80.38109756097562
d_com014,5266,5273,7,80.38109756097562
d_com049,5266,5273,7,80.38109756097562
d_com054,5266,5273,7,80.38109756097562
d_com066,5266,5273,7,80.38109756097562
d_com084,3987,3994,7,60.88414634146342
d_com080,3728,3735,7,56.9359756097561
d_com082,5266,5273,7,80.38109756097562
d_com077,3728,3735,7,56.9359756097561
d_com074,3728,3735,7,56.9359756097561
d_com073,3728,3735,7,56.9359756097561
d_com079,3728,3735,7,56.9359756097561
d_com076,3728,3735,7,56.9359756097561
d_com078,3728,3735,7,56.9359756097561
c337,0,6,6,0.09146341463414635
d_com032,3728,3734,6,56.920731707317074
toparent,5609,5614,5,85.57926829268293
c310,0,5,5,0.07621951219512195
c024y,6452,6457,5,98.42987804878048
d_com025,6106,6111,5,93.15548780487805
c044y,6430,6434,4,98.07926829268293
wholelifeins,6275,6279,4,95.71646341463415
d_com102,6522,6526,4,99.48170731707317
socialsecurity,5661,5665,4,86.35670731707317
pensionins,6452,6456,4,98.41463414634146
annuity,5777,5780,3,88.10975609756098
sideline,6444,6447,3,98.27743902439025
c311,4141,4144,3,63.170731707317074
d_com101,6522,6525,3,99.46646341463415
f001type,0,3,3,0.04573170731707318
national,5924,5927,3,90.35060975609757
fromothers,6426,6429,3,98.0030487804878
c330,0,2,2,0.03048780487804878
socialwelfare,5789,5791,2,88.27743902439025
fromparent,6407,6409,2,97.69817073170731
c126,3987,3988,1,60.792682926829265
c303,2760,2761,1,42.088414634146346
c302,367,368,1,5.609756097560976
c127,4396,4397,1,67.02743902439025
c309,6201,6202,1,94.54268292682927
c340,0,1,1,0.01524390243902439
businessfarm,6554,6555,1,99.92378048780488
c039y,6409,6410,1,97.71341463414635
d_com125,6417,6418,1,97.83536585365854
exploit,6508,6509,1,99.22256097560975
other,6502,6503,1,99.13109756097562
n_days,5897,5898,1,89.90853658536585
unemployment,6548,6549,1,99.83231707317073
