,nulos,porcentaje_nulos,tipo,valores_unicos
g013,6560,100.0,float64,0
g014,6559,99.98475609756098,float64,1
a035_07,6559,99.98475609756098,float64,1
industrial,6556,99.9390243902439,float64,3
businessfarm,6554,99.90853658536587,float64,6
unemployment,6548,99.8170731707317,float64,10
personal,6545,99.77134146341463,float64,15
d_com108,6540,99.6951219512195,float64,6
g012,6525,99.46646341463415,float64,9
d_com101,6522,99.42073170731707,float64,18
bb_adl_num3,6522,99.42073170731707,float64,1
d_com102,6522,99.42073170731707,float64,18
d_com098,6519,99.375,float64,2
a035_06,6516,99.32926829268293,float64,8
d_com060,6508,99.20731707317073,float64,2
exploit,6508,99.20731707317073,float64,26
other,6502,99.1158536585366,float64,33
d_com138,6495,99.00914634146342,float64,5
d_com095,6485,98.85670731707317,float64,21
d_com093,6485,98.85670731707317,float64,4
l_sum,6484,98.84146341463415,float64,3
realestateinc,6476,98.71951219512195,float64,40
c135,6469,98.61280487804878,float64,8
c133,6461,98.49085365853658,float64,11
d_com110,6456,98.41463414634146,float64,8
d_com107,6455,98.39939024390245,float64,2
c024m,6452,98.35365853658537,float64,13
c024y,6452,98.35365853658537,float64,36
pensionins,6452,98.35365853658537,float64,95
guarantee,6448,98.29268292682927,float64,45
sideline,6444,98.23170731707317,float64,36
size_c,6435,98.09451219512195,float64,11
c044m,6430,98.01829268292683,float64,13
c044y,6430,98.01829268292683,float64,24
d_com105,6426,97.95731707317074,float64,2
fromothers,6426,97.95731707317074,float64,44
c017y,6419,97.85060975609755,float64,23
c017m,6419,97.85060975609755,float64,13
d_com137,6417,97.8201219512195,float64,5
d_com130,6417,97.8201219512195,float64,22
d_com118,6417,97.8201219512195,float64,6
d_com125,6417,97.8201219512195,float64,4
g011,6416,97.80487804878048,float64,11
c039m,6409,97.69817073170731,float64,13
c039y,6409,97.69817073170731,float64,23
fromparent,6407,97.66768292682927,float64,19
c064y,6399,97.54573170731707,float64,20
c064m,6399,97.54573170731707,float64,13
d_com106,6398,97.53048780487805,float64,2
particular,6397,97.51524390243902,float64,57
d_com068,6377,97.21036585365853,float64,2
d_com015,6361,96.96646341463413,float64,30
a035_05,6354,96.85975609756098,float64,9
toothers,6312,96.21951219512195,float64,37
d_com104,6293,95.9298780487805,float64,2
c034y,6279,95.71646341463415,float64,26
c034m,6279,95.71646341463415,float64,13
wholelifeins,6275,95.65548780487805,float64,214
house_sum,6251,95.28963414634146,float64,66
c309,6201,94.52743902439025,float64,3
a035_03,6191,94.375,float64,10
bp1_2,6160,93.90243902439023,float64,3
g010,6147,93.70426829268293,float64,11
regularins,6142,93.6280487804878,float64,339
d_com025,6106,93.07926829268293,float64,17
c131,6095,92.91158536585365,float64,15
bb_adl_num2,6074,92.59146341463415,float64,5
bb_adl_num1,6074,92.59146341463415,float64,5
f013_n,6050,92.22560975609755,float64,67
bp3,5991,91.32621951219512,float64,3
bp5,5991,91.32621951219512,float64,10
bp4,5991,91.32621951219512,float64,4
bp6,5991,91.32621951219512,float64,10
g003,5948,90.67073170731707,float64,11
national,5924,90.3048780487805,float64,90
agriculture,5919,90.22865853658537,float64,61
n_days,5897,89.89329268292683,float64,52
oopm1,5897,89.89329268292683,float64,74
c012m,5887,89.7408536585366,float64,13
c012y,5887,89.7408536585366,float64,37
target1,5883,89.6798780487805,float64,2
insurance,5881,89.64939024390245,float64,485
g004,5866,89.42073170731707,float64,11
g009,5790,88.26219512195121,float64,11
socialwelfare,5789,88.2469512195122,float64,33
annuity,5777,88.0640243902439,float64,127
tochildren,5736,87.4390243902439,float64,114
socialsecurity,5661,86.29573170731707,float64,89
d_com145,5653,86.17378048780488,float64,7
financial,5630,85.82317073170732,float64,49
toparent,5609,85.5030487804878,float64,53
assetinc,5572,84.9390243902439,float64,86
g008,5515,84.0701219512195,float64,11
c049y,5508,83.96341463414633,float64,40
c049m,5508,83.96341463414633,float64,13
selfemployed,5474,83.44512195121952,float64,81
d_com140,5462,83.26219512195122,float64,12
d_com144,5462,83.26219512195122,float64,2
d_com157,5462,83.26219512195122,float64,2
d_com139m,5462,83.26219512195122,float64,13
d_com142,5462,83.26219512195122,float64,13
d_com149,5462,83.26219512195122,float64,2
d_com139y,5462,83.26219512195122,float64,41
c129,5396,82.2560975609756,float64,21
bm6,5312,80.97560975609757,float64,10
bm3,5312,80.97560975609757,float64,3
bm4,5312,80.97560975609757,float64,4
bm5,5312,80.97560975609757,float64,10
d_com037,5281,80.5030487804878,float64,62
d_com081,5266,80.27439024390245,float64,5
d_com082,5266,80.27439024390245,float64,5
full_parttime,5266,80.27439024390245,float64,3
d_com052,5266,80.27439024390245,float64,95
d_com066,5266,80.27439024390245,float64,3
d_com056,5266,80.27439024390245,float64,3
d_com057,5266,80.27439024390245,float64,6
d_com049,5266,80.27439024390245,float64,9
d_com053,5266,80.27439024390245,float64,5
d_com014,5266,80.27439024390245,float64,3
d_com054,5266,80.27439024390245,float64,4
d_com055,5266,80.27439024390245,float64,3
d_com024,5266,80.27439024390245,float64,3
wage,5190,79.11585365853658,float64,165
a035_04,5120,78.04878048780488,float64,10
publictrans,5058,77.10365853658536,float64,198
d_com001,5022,76.55487804878048,float64,8
a035_01,4997,76.17378048780488,float64,10
pliabilities,4968,75.73170731707317,float64,176
size_n,4957,75.5640243902439,float64,108
livenear,4954,75.51829268292683,float64,7
otherasset,4924,75.0609756097561,float64,76
transferto,4850,73.9329268292683,float64,202
c007y,4843,73.82621951219512,float64,40
c007m,4843,73.82621951219512,float64,14
contact1,4821,73.49085365853658,float64,6
c127,4396,67.01219512195122,float64,28
bp1_1,4353,66.35670731707317,float64,2
c304,4168,63.53658536585366,float64,2
c312,4141,63.125,float64,57
c311,4141,63.125,float64,12
addic,3987,60.77743902439025,float64,3
d_com085,3987,60.77743902439025,float64,5
d_com084,3987,60.77743902439025,float64,5
c134,3987,60.77743902439025,float64,7
c128,3987,60.77743902439025,float64,7
c126,3987,60.77743902439025,float64,9
c132,3987,60.77743902439025,float64,5
c130,3987,60.77743902439025,float64,7
c111,3965,60.4420731707317,float64,14
c112,3965,60.4420731707317,float64,29
livewithnm,3933,59.95426829268292,float64,4
chronic_j,3806,58.018292682926834,float64,3
d_com097,3735,56.9359756097561,float64,2
d_com080,3728,56.82926829268292,float64,5
d_com077,3728,56.82926829268292,float64,5
d_com078,3728,56.82926829268292,float64,5
job,3728,56.82926829268292,float64,12
ind,3728,56.82926829268292,float64,22
job_startm,3728,56.82926829268292,float64,14
d_com073,3728,56.82926829268292,float64,5
d_com074,3728,56.82926829268292,float64,5
job_starty,3728,56.82926829268292,float64,65
status,3728,56.82926829268292,float64,6
d_com075,3728,56.82926829268292,float64,5
d_com079,3728,56.82926829268292,float64,5
d_com092,3728,56.82926829268292,float64,7
d_com090,3728,56.82926829268292,float64,6
d_com089,3728,56.82926829268292,float64,5
d_com076,3728,56.82926829268292,float64,5
d_com031,3728,56.82926829268292,float64,9
d_com032,3728,56.82926829268292,float64,89
