variable,valor_dominante,porcentaje_dominante,valores_unicos
g013,,100.0,1
mniw_y,2006.0,100.0,1
a035_07,,99.98475609756098,2
g014,,99.98475609756098,2
industrial,,99.9390243902439,4
businessfarm,,99.90853658536587,7
unemployment,,99.8170731707317,11
personal,,99.77134146341463,16
d_com108,,99.6951219512195,7
g012,,99.46646341463415,10
bb_adl_num3,,99.42073170731707,2
bb_adl3,5.0,99.42073170731707,2
d_com101,,99.42073170731707,19
d_com102,,99.42073170731707,19
c207,1.0,99.42073170731707,3
d_com098,,99.375,3
c340,0.0,99.375,18
a035_06,,99.32926829268293,9
d_com060,,99.20731707317073,3
exploit,,99.20731707317073,27
c206,1.0,99.1920731707317,3
c217,1.0,99.16158536585365,3
other,,99.1158536585366,34
c202,1.0,99.10060975609755,3
c346,5.0,99.07012195121952,2
c204,1.0,99.03963414634146,3
c205,1.0,99.00914634146342,3
d_com138,,99.00914634146342,6
