variable,codigo_sospechoso,frecuencia,porcentaje
a002_age,97,1,0.01524390243902439
a030,97,55,0.8384146341463415
agriculture,-9,15,0.22865853658536583
agriculture,-8,4,0.06097560975609756
annuity,-8,3,0.04573170731707318
annuity,99,1,0.01524390243902439
assetinc,-9,156,2.3780487804878048
ba068,-9,6,0.09146341463414635
ba068,-8,2,0.03048780487804878
businessfarm,-9,1,0.01524390243902439
c007m,-9,871,13.277439024390244
c007m,-8,1,0.01524390243902439
c007y,-9,22,0.3353658536585366
c007y,-8,1,0.01524390243902439
c012m,-9,345,5.259146341463414
c012y,-9,9,0.1371951219512195
c017m,-9,42,0.6402439024390244
c024m,-9,56,0.853658536585366
c024y,-9,5,0.07621951219512195
c034m,-9,145,2.2103658536585367
c034y,-9,7,0.10670731707317074
c039m,-9,59,0.8993902439024389
c039y,-9,1,0.01524390243902439
c044m,-9,71,1.0823170731707317
c044y,-9,4,0.06097560975609756
c049m,-9,536,8.170731707317074
c049y,-9,30,0.45731707317073167
c064m,-9,75,1.1432926829268293
c068,-8,8,0.12195121951219512
c105,-9,39,0.5945121951219512
c105,-8,3,0.04573170731707318
c105,97,1,0.01524390243902439
c105,98,1,0.01524390243902439
c107,-9,113,1.7225609756097562
c107,-8,2,0.03048780487804878
c124m,-9,1994,30.396341463414632
c124m,-8,1,0.01524390243902439
c124y,-9,223,3.399390243902439
c124y,-8,1,0.01524390243902439
c126,-9,1,0.01524390243902439
c127,-9,1,0.01524390243902439
c301,-9,6,0.09146341463414635
c301,-8,2,0.03048780487804878
c302,-9,1,0.01524390243902439
c303,-9,1,0.01524390243902439
c306,-9,1960,29.878048780487802
c306,-8,29,0.44207317073170727
c309,-9,1,0.01524390243902439
c310,-9,4,0.06097560975609756
c310,-8,1,0.01524390243902439
c311,-9,3,0.04573170731707318
c312,-9,34,0.5182926829268293
c312,-8,4,0.06097560975609756
c330,-9,2,0.03048780487804878
c337,-9,6,0.09146341463414635
c340,-9,1,0.01524390243902439
chronic_j,-8,7,0.10670731707317074
d_com001,-9,82,1.25
d_com014,-8,7,0.10670731707317074
d_com015,-9,8,0.12195121951219512
d_com015,-8,11,0.1676829268292683
d_com024,-8,7,0.10670731707317074
d_com025,-9,4,0.06097560975609756
d_com025,-8,1,0.01524390243902439
d_com031,-9,4,0.06097560975609756
d_com031,-8,6,0.09146341463414635
d_com032,-9,4,0.06097560975609756
d_com032,-8,2,0.03048780487804878
d_com032,98,6,0.09146341463414635
d_com037,-9,47,0.7164634146341464
d_com037,-8,27,0.41158536585365857
d_com049,-9,7,0.10670731707317074
d_com052,-9,5,0.07621951219512195
d_com052,-8,29,0.44207317073170727
d_com052,98,1,0.01524390243902439
d_com053,-9,8,0.12195121951219512
d_com054,-9,7,0.10670731707317074
d_com055,-9,8,0.12195121951219512
d_com056,-9,7,0.10670731707317074
d_com057,-9,8,0.12195121951219512
d_com057,-8,1,0.01524390243902439
