variable,codigo,frecuencia,porcentaje_dataset,casos_clase_0,casos_clase_1,valores_unicos_incluyendo_codigo,nulos_originales
c124m,-9,1994,30.396341463414632,1946,48,14,3646
c306,-9,1960,29.878048780487802,1931,29,55,367
job_startm,-9,1318,20.09146341463415,1289,29,14,3728
c007m,-9,871,13.277439024390244,854,17,14,4843
passets,-9,825,12.576219512195122,815,10,1168,1418
pnetassets,-9,803,12.240853658536585,792,11,1300,1287
d_com139m,-9,540,8.231707317073171,530,10,13,5462
c049m,-9,536,8.170731707317074,528,8,13,5508
financialasset,-9,469,7.149390243902438,465,4,622,3237
realestate,-9,375,5.716463414634147,369,6,225,2921
c012m,-9,345,5.259146341463414,335,10,13,5887
ecoact_s,-8,336,5.121951219512195,324,12,7,0
residence,-9,320,4.878048780487805,316,4,150,3131
edu_s,-8,317,4.8323170731707314,306,11,7,0
hhinc,-8,289,4.405487804878049,285,4,263,0
pinc,-9,228,3.4756097560975614,227,1,1292,1277
c124y,-9,223,3.399390243902439,216,7,68,3646
assetinc,-9,156,2.3780487804878048,155,1,86,5572
c034m,-9,145,2.2103658536585367,142,3,13,6279
hhinc,-9,142,2.1646341463414633,140,2,263,0
size_n,-9,121,1.8445121951219512,115,6,108,4957
c107,-9,113,1.7225609756097562,111,2,47,0
size_c,-9,96,1.4634146341463417,93,3,11,6435
financial,-9,88,1.3414634146341464,87,1,49,5630
oopm2,-9,87,1.326219512195122,86,1,351,1402
d_com001,-9,82,1.25,80,2,8,5022
job,-9,78,1.1890243902439024,76,2,12,3728
job_starty,-9,76,1.1585365853658536,74,2,65,3728
c064m,-9,75,1.1432926829268293,72,3,13,6399
ind,-9,75,1.1432926829268293,73,2,22,3728
c044m,-9,71,1.0823170731707317,68,3,13,6430
financial,-8,68,1.0365853658536586,68,0,49,5630
c039m,-9,59,0.8993902439024389,58,1,13,6409
c024m,-9,56,0.853658536585366,54,2,13,6452
earned,-8,53,0.8079268292682927,52,1,266,3688
d_com037,-9,47,0.7164634146341464,46,1,62,5281
pinc,-8,47,0.7164634146341464,46,1,1292,1277
pliabilities,-8,45,0.6859756097560976,44,1,176,4968
pnetassets,-8,45,0.6859756097560976,44,1,1300,1287
otherasset,-9,44,0.6707317073170732,44,0,76,4924
c017m,-9,42,0.6402439024390244,42,0,13,6419
earned,-9,41,0.625,41,0,266,3688
c105,-9,39,0.5945121951219512,39,0,70,0
ecoact_s,-9,39,0.5945121951219512,36,3,7,0
edu_s,-9,39,0.5945121951219512,36,3,7,0
year2,-9,39,0.5945121951219512,36,3,62,0
c312,-9,34,0.5182926829268293,34,0,57,4141
c049y,-9,30,0.45731707317073167,30,0,40,5508
wage,-8,30,0.45731707317073167,30,0,165,5190
c306,-8,29,0.44207317073170727,27,2,55,367
d_com052,-8,29,0.44207317073170727,29,0,95,5266
oopm1,-9,29,0.44207317073170727,29,0,74,5897
d_com037,-8,27,0.41158536585365857,27,0,62,5281
transferfrom,-9,26,0.39634146341463417,26,0,222,3569
c007y,-9,22,0.3353658536585366,22,0,40,4843
fromchildren,-9,22,0.3353658536585366,22,0,208,3721
d_com096,-9,20,0.3048780487804878,20,0,42,3585
pliabilities,-9,20,0.3048780487804878,19,1,176,4968
selfemployed,-8,18,0.274390243902439,18,0,81,5474
selfemployed,-9,17,0.25914634146341464,17,0,81,5474
toothers,-9,16,0.24390243902439024,16,0,37,6312
agriculture,-9,15,0.22865853658536583,15,0,61,5919
realestate,-8,15,0.22865853658536583,15,0,225,2921
f013_n,-8,14,0.2134146341463415,14,0,67,6050
house_sum,-8,14,0.2134146341463415,14,0,66,6251
otherasset,-8,12,0.1829268292682927,12,0,76,4924
d_com015,-8,11,0.1676829268292683,11,0,30,6361
insurance,-9,11,0.1676829268292683,11,0,485,5881
job,-8,11,0.1676829268292683,10,1,12,3728
s_sum,-8,11,0.1676829268292683,11,0,14,0
transferto,-9,11,0.1676829268292683,11,0,202,4850
d_com139y,-9,10,0.1524390243902439,10,0,41,5462
c012y,-9,9,0.1371951219512195,8,1,37,5887
f013_n,-9,9,0.1371951219512195,8,1,67,6050
tochildren,-9,9,0.1371951219512195,9,0,114,5736
wage,-9,9,0.1371951219512195,9,0,165,5190
c068,-8,8,0.12195121951219512,7,1,3,2754
d_com015,-9,8,0.12195121951219512,8,0,30,6361
d_com053,-9,8,0.12195121951219512,8,0,5,5266
d_com055,-9,8,0.12195121951219512,8,0,3,5266
d_com057,-9,8,0.12195121951219512,8,0,6,5266
d_com081,-9,8,0.12195121951219512,8,0,5,5266
d_com093,-9,8,0.12195121951219512,7,1,4,6485
c034y,-9,7,0.10670731707317074,7,0,26,6279
chronic_j,-8,7,0.10670731707317074,7,0,3,3806
d_com014,-8,7,0.10670731707317074,7,0,3,5266
d_com024,-8,7,0.10670731707317074,7,0,3,5266
d_com049,-9,7,0.10670731707317074,7,0,9,5266
d_com054,-9,7,0.10670731707317074,7,0,4,5266
d_com056,-9,7,0.10670731707317074,7,0,3,5266
d_com066,-9,7,0.10670731707317074,7,0,3,5266
d_com073,-9,7,0.10670731707317074,7,0,5,3728
d_com074,-9,7,0.10670731707317074,7,0,5,3728
d_com075,-9,7,0.10670731707317074,7,0,5,3728
d_com076,-9,7,0.10670731707317074,7,0,5,3728
d_com077,-9,7,0.10670731707317074,7,0,5,3728
d_com078,-9,7,0.10670731707317074,7,0,5,3728
d_com079,-9,7,0.10670731707317074,7,0,5,3728
d_com080,-9,7,0.10670731707317074,7,0,5,3728
d_com082,-9,7,0.10670731707317074,7,0,5,5266
d_com084,-9,7,0.10670731707317074,7,0,5,3987
d_com085,-9,7,0.10670731707317074,7,0,5,3987
d_com089,-9,7,0.10670731707317074,7,0,5,3728
d_com090,-9,7,0.10670731707317074,7,0,6,3728
d_com092,-9,7,0.10670731707317074,7,0,7,3728
d_com095,-9,7,0.10670731707317074,7,0,21,6485
full_parttime,-8,7,0.10670731707317074,7,0,3,5266
house_sum,-9,7,0.10670731707317074,7,0,66,6251
publictrans,-9,7,0.10670731707317074,7,0,198,5058
regularins,-9,7,0.10670731707317074,7,0,339,6142
status,-8,7,0.10670731707317074,7,0,6,3728
ba068,-9,6,0.09146341463414635,6,0,24,0
c301,-9,6,0.09146341463414635,4,2,4,0
c337,-9,6,0.09146341463414635,6,0,62,0
d_com031,-8,6,0.09146341463414635,6,0,9,3728
job_startm,-8,6,0.09146341463414635,6,0,14,3728
c024y,-9,5,0.07621951219512195,5,0,36,6452
d_com052,-9,5,0.07621951219512195,5,0,95,5266
