,a002_age,a002m,a002y,ba068,bmi,c105,c107,c306,c330,c333,c334,c337,c340,g007,g026,g027,g028,g029,g030,hhinc,iadl,mgrip,mniw_d,oopm2,passets,pinc,pnetassets,region1,s_sum,year2
a002_age,1.0,0.012891205734466572,-1.0,0.7099178423083112,-0.04402998270626503,-0.163288420342933,-0.1903993842344702,-0.09691749987178251,0.018237119413061418,0.1053028714325873,0.05221122865803898,0.1267772881608113,0.0013354755906500794,-0.0658318723292156,-0.21361429033571722,-0.14217431693873386,-0.06848684591728134,-0.1737551801350941,-0.12909088861427553,-0.25744698581062414,0.17057729222416954,-0.32410387902757193,-0.0075098904304662095,0.0401128239879389,-0.033160838913884244,-0.24584390669306538,-0.020816741874284242,0.03364778111960904,-0.32615253425785395,-0.3169547053782751
a002m,0.012891205734466572,1.0,-0.012891205734466105,-0.012576109833084211,-0.01511882770166191,-0.02990252993928579,-0.0303775592863325,-0.0013636690371071438,0.016116285476899677,0.0037565527810540325,-0.02295937240670405,0.001695999722635417,-0.009494405910975645,0.01776702082879913,0.011314692970475933,0.0011388568792009785,-0.0015228009007180261,0.001829441746600765,0.006514948333313906,0.009745657737183808,-0.005595563413079329,2.9335799166878547e-05,-0.0036719021373455844,0.024598399906332093,-0.022032553154346202,0.0032839968362776088,-0.02067686512102593,0.0034069673878791124,0.009281540695971448,-0.010032758897168596
a002y,-1.0,-0.012891205734466105,1.0,-0.7099178423083101,0.04402998270626699,0.1632884203429356,0.19039938423447192,0.09691749987178153,-0.018237119413062275,-0.1053028714325855,-0.05221122865803854,-0.1267772881608112,-0.0013354755906492771,0.06583187232921356,0.2136142903357163,0.14217431693873467,0.06848684591728119,0.17375518013509575,0.12909088861427642,0.257446985810623,-0.17057729222417004,0.3241038790275712,0.007509890430464893,-0.0401128239879392,0.0331608389138842,0.24584390669306497,0.020816741874284537,-0.03364778111960873,0.3261525342578543,0.31695470537827697
ba068,0.7099178423083112,-0.012576109833084211,-0.7099178423083101,1.0,-0.013353429290306673,-0.1641957223588319,-0.2303371658464896,-0.08701956028249826,0.007401795872609128,0.11190392958047961,0.05516510828617824,0.13620180704260937,-0.0028342263444756815,-0.06403355810263485,-0.18814176993179776,-0.0870810305458121,-0.05043180367143296,-0.11290725956273363,-0.06910723121069058,-0.20047813273827647,0.1014276570782045,-0.32805169354866515,0.0011010654217566672,0.03594142023913195,-0.08040689681808956,-0.22342691176278498,-0.06581751319212169,0.14738275009090396,-0.25280898492299503,-0.23773152313009754
bmi,-0.04402998270626503,-0.01511882770166191,0.04402998270626699,-0.013353429290306673,1.0,0.7539318829274494,-0.03237384044349897,0.00770164502036194,0.026216677560301226,-0.005837790523610696,0.03521545938225065,0.030604109451906385,0.006252860975481816,-0.0008986753672071926,-0.019473050723331442,0.011355598566576385,-0.0036484301423325787,-0.005262237830080313,-0.004235994102319812,0.0015196907227945362,0.006109352636333092,0.07914993786719851,0.011886041449324218,0.029307761200440832,-0.0003363275503430936,0.02121561381720491,0.0021019240352571416,-0.03767192747496529,0.051829766619531495,-0.0051648744270842185
c105,-0.163288420342933,-0.02990252993928579,0.1632884203429356,-0.1641957223588319,0.7539318829274494,1.0,0.614450718555439,0.05445454095888511,0.006669367372365441,-0.028167533598800542,-0.016408226757091214,-0.020273598011652825,0.0050167448066139745,0.06069401744026587,0.11814285162010106,0.089870009737757,0.08693738915544899,0.04461311529734839,0.08008831904275646,0.07838952299550435,0.00623003850867589,0.5080629573101697,0.007446885523460364,0.013814786325361815,0.12094442615874988,0.225783613578862,0.1147939803223166,-0.023805889138112362,0.061220821706410695,0.16446734255191336
c107,-0.1903993842344702,-0.0303775592863325,0.19039938423447192,-0.2303371658464896,-0.03237384044349897,0.614450718555439,1.0,0.07023839988006525,-0.02093619023715477,-0.03064771025958073,-0.06753367742821764,-0.06786532809302061,-0.0005382737711331196,0.08704603418779014,0.19730698908007038,0.12390838670307294,0.1298209864206136,0.06905539470665427,0.12003142952361373,0.11463451791119728,0.0018408588135470129,0.683336870840751,0.0007845701879311214,-0.015031695106278562,0.18903078071705776,0.3201472820453824,0.17667592239228727,0.009470332558362701,0.03444732432716787,0.25676956796612715
c306,-0.09691749987178251,-0.0013636690371071438,0.09691749987178153,-0.08701956028249826,0.00770164502036194,0.05445454095888511,0.07023839988006525,1.0,0.016670662020123145,-0.04356740972763497,0.00833407499427369,-0.04376615869728665,0.035465650741041924,0.05036038678369611,0.07372558097374851,0.1405670091226916,0.03240407841948742,0.04313743644293899,0.07631103672857732,0.13175307253579796,-0.029884170812547288,0.07473956880203113,0.006875748832130432,0.04252052400415231,0.12055996277941311,0.1241880835971965,0.10102825704317187,-0.09922352365170284,0.03272241536707323,0.08216378262504573
c330,0.018237119413061418,0.016116285476899677,-0.018237119413062275,0.007401795872609128,0.026216677560301226,0.006669367372365441,-0.02093619023715477,0.016670662020123145,1.0,0.03122538300388839,0.03500975865662517,0.04179157085625713,-0.0067725078723598975,0.029262009293365657,-0.032781007822735055,-0.008966165981513391,0.032668690796640254,-0.0034601912482821492,0.00820115046303039,-0.014377288791982638,-0.015504087788032861,-0.008882951766068311,-0.03267054577304073,0.1749083898717659,0.002055907130374477,-0.004394820906162303,-0.003759336836591632,0.019958170842084254,0.009312101093623652,0.005687980546465966
c333,0.1053028714325873,0.0037565527810540325,-0.1053028714325855,0.11190392958047961,-0.005837790523610696,-0.028167533598800542,-0.03064771025958073,-0.04356740972763497,0.03122538300388839,1.0,0.03718497851849402,0.023341440756740276,-0.0012721556295814498,-0.016277428117681136,-0.06988290452078134,-0.03345912780281281,-0.0075694329914371425,-0.017088811257564392,-0.0198423292825004,-0.06889004242004777,0.012991013258511928,-0.07069505909159898,-0.036645183661543596,0.004390536511266793,-0.02266590856671864,-0.050538693826074,-0.01915768670845583,0.08283735875396545,-0.041923785700543545,-0.0429587478202383
