variable,mutual_information,mi_normalizada
hhinc,0.0046304067222957546,1.0
region1,0.0036949628992681838,0.7979780440186088
c306,0.0036883206223741194,0.7965435529917015
c334,0.0030635619459820074,0.6616183263622886
g029,0.003035952176297707,0.6556556169632725
ba003,0.0029493299962302976,0.6369483661184779
g026,0.0029480496176150783,0.6366718507512523
oopm2,0.002581803001177496,0.5575758580225624
g007,0.00236901620622354,0.5116216238233565
bmi,0.002345311117552429,0.5065021839786946
a002_age,0.002339802410833647,0.5053125030177853
pinc,0.002267830560244821,0.48976919226664206
iadl,0.002052563454816525,0.44327930091611145
year2,0.001860071421270204,0.4017079994968522
c107,0.0014804522760678562,0.3197240253084827
c318,0.0014687814210716968,0.3172035436972317
c152,0.001262450884285613,0.27264362722324537
c001,0.0012309889053129762,0.2658489802603457
adl,0.0011073351455590237,0.23914425059619973
smoke,0.0009956674030901416,0.215028066173092
a035_02,0.0009814907077939543,0.2119664138936226
c210,0.0009445026700233812,0.2039783385497283
a032,0.00093052429955809,0.2009595172444671
f001type,0.0009300919145156438,0.20086613774923523
present_ecotype,0.0009238426817155393,0.1995165299987942
g028,0.0008858351413290055,0.19130827904677208
c305,0.0008096511534779454,0.1748552993367547
contact2,0.0008086623261550881,0.17464174847995934
mniw_m,0.0008086545824477036,0.17464007611987328
c144,0.0007916891571177883,0.17097615924444517
c142,0.0007771269648346223,0.16783125359003517
c208,0.000747833092275508,0.16150483901870558
c145,0.0007154234602630705,0.1545055333515851
c081,0.0007034384932954052,0.15191721494103233
c204,0.0007005292025187067,0.151288913594913
gender1,0.0006851780408110783,0.14797361914492194
c212,0.0006763779109673243,0.14607311010294496
c201,0.000626146517163092,0.135224949926785
marital,0.0006209451721908984,0.1341016479612905
a030,0.0006160735864251684,0.13304956203063717
edu_s,0.0005956781253076294,0.1286448817637109
job_search,0.000562973324073587,0.1215818302445935
c143,0.0005618872043621128,0.12134726775870118
panel_n,0.0005534783184086836,0.11953125321446259
c206,0.000539868713806028,0.11659207196778627
c109,0.000538713100424114,0.11634250136822111
c005,0.0005338761026563426,0.11529788519131359
hhsize,0.0005168133195601896,0.11161294256759235
c211,0.0005081888757259324,0.1097503753350575
chronic_g,0.0004972821677219109,0.10739492177381743
c205,0.0004915844132558935,0.10616441335247674
c346,0.0004874652157700046,0.10527481601623095
chronic_sum,0.00048739872962451575,0.10526045741892487
c003,0.00046851790329426393,0.10118288336061608
ecoact_s,0.0004639033544514915,0.10018630808774576
c106,0.00045957833677947625,0.09925226105226831
c102,0.0004460092494752571,0.0963218300733042
c151,0.00039253921058814666,0.08477423995996745
c146,0.0003789334593648462,0.08183589090354704
c209,0.0003736200167000145,0.08068837989997858
c213,0.00037241232642674406,0.08042756257966517
c148,0.0003388082014682027,0.07317028973649677
chronic_b,0.00033018968932891843,0.07130900353505241
c343,0.0003147123814655692,0.06796646608821759
alc,0.0002956913657814215,0.06385861621132446
c310,0.00028235295452577053,0.060978002896855676
c150,0.0002510816985308263,0.054224545183439096
c202,0.0002271132304297093,0.04904822492938733
region3,0.00022119225451242008,0.04776950876633857
ba068,0.00020757400728022013,0.04482846102497558
c214,0.0001963621307322955,0.042407102120597125
fam1,0.00018283108989645145,0.03948488779961943
c207,0.00017260050617085802,0.03727545257304799
c302,0.00015818961719396563,0.03416322294805568
c147,0.00014039625040231682,0.030320500729730367
livewith,0.00013402663169825228,0.028944893988017084
c216,0.00013160222060119723,0.028421309075836187
labor_st,0.0001255238874221477,0.027108609448440197
present_labor,0.00010438220259990916,0.02254277191187138
ba_resp,0.00010207742224416921,0.02204502290320606
chronic_c,0.00010118305731806167,0.0218518724998514
c217,9.753751587891551e-05,0.021064567699693653
retired,9.700204918996341e-05,0.020948926305521132
c203,9.672956534910741e-05,0.02089007967342206
edu,9.192777869814969e-05,0.01985306782134506
c082,9.022406329966051e-05,0.019485127054870776
c313,6.866042508815728e-05,0.014828162882010387
c301,6.392534911179616e-05,0.013805558117387578
chronic_d,4.355236166737192e-05,0.00940573134918452
c108,4.256892409333635e-05,0.009193344482756513
c215,3.8424345070234766e-05,0.00829826565455226
c068,3.437162408541708e-05,0.00742302483276796
chronic_h,3.384966597481248e-05,0.0073103008018331975
region2,2.7758487435632778e-05,0.005994827042292762
bp1,2.4081873965462082e-05,0.0052008118097933076
ba075,2.2557092752012106e-05,0.004871514340932087
bb_adl3,1.9241696869519908e-05,0.004155509013251406
c550,1.6236451432212994e-05,0.003506484938792367
chronic_i,1.5234454022076266e-05,0.003290089820559656
c149,1.3381138108871371e-05,0.0028898407659180758
ea_resp,1.1535188029883348e-05,0.0024911824644562115
c085,1.1425227211283445e-05,0.0024674349137128976
residence_,1.1215449029197688e-05,0.002422130430831154
enu_type,1.0090706386564618e-05,0.002179226791887873
chronic_f,4.1570717736411425e-06,0.000897776809459206
bb_adl1,3.665989514014048e-06,0.0007917208430875056
c056,3.451728527090886e-06,0.0007454482368623376
c303,2.505594400757649e-06,0.0005411175628898914
chronic_a,1.6608273244039795e-06,0.00035867849716245695
bb_adl2,1.3804492215215708e-06,0.0002981269906322925
a003,4.70589507951813e-08,1.0163027487107975e-05
c340,0.0,0.0
g027,0.0,0.0
c105,0.0,0.0
a002m,0.0,0.0
c333,0.0,0.0
c337,0.0,0.0
passets,0.0,0.0
mniw_d,0.0,0.0
g030,0.0,0.0
mgrip,0.0,0.0
pnetassets,0.0,0.0
s_sum,0.0,0.0
a002y,0.0,0.0
c330,0.0,0.0
