componente,varianza_explicada,varianza_acumulada
1,0.15870756257609983,0.15870756257609983
2,0.08229209849786262,0.24099966107396245
3,0.07351754079880925,0.3145172018727717
4,0.05963115956595687,0.3741483614387286
5,0.04434894049406888,0.4184973019327975
6,0.04039649916044319,0.4588938010932407
7,0.038015954655696925,0.4969097557489376
8,0.03651457314168405,0.5334243288906216
9,0.035179172803153615,0.5686035016937753
10,0.03369315293818867,0.6022966546319639
11,0.03301758763893436,0.6353142422708983
12,0.032437674613345034,0.6677519168842433
13,0.031021035856511857,0.6987729527407551
14,0.030460656584268418,0.7292336093250236
15,0.02945605973552249,0.758689669060546
16,0.028133602841680167,0.7868232719022262
17,0.028049189023850025,0.8148724609260762
18,0.026853459176016437,0.8417259201020927
19,0.02619588964016723,0.86792180974226
20,0.02503281418377318,0.8929546239260332
21,0.022957884496881464,0.9159125084229147
22,0.020218845099231556,0.9361313535221463
23,0.015373778416193497,0.9515051319383397
24,0.01389990981262895,0.9654050417509686
25,0.01155154077243288,0.9769565825234016
26,0.011071627481067093,0.9880282100044686
27,0.01058396165173908,0.9986121716562076
28,0.0010112000743434867,0.9996233717305512
29,0.0003766282694488793,1.0
30,0.0,1.0
