,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
hhinc,-0.2623658854378119,-0.10639410644256093,-0.08163434506891944,0.12054736429347292,0.3203102963097088,0.017592573458610795,-0.12919434257690743,0.20661703276557702,-0.018115510962152855,0.4853522006288281,0.10839571640378746,0.06365834354800026,-0.01942158878948807,0.4821893909897489,-0.49062188321786376,-0.034762492958624526,0.07973267179370318,0.05918043611939929,-4.9897449676699516e-05
c306,-0.12305923111454979,-0.0015970372237142966,-0.0907264869545687,0.29279692394012846,0.4225837879404056,-0.06456797915445722,-0.25247782174655986,0.1510048804106947,0.18520960947176823,-0.4175969353647911,0.5526557837078752,-0.15966410470606882,-0.016625196307098994,-0.2828748754605754,-0.03895938241730966,0.004492857217361041,-0.00553670973515539,0.011070276943558695,-0.001508525104496629
region1,0.034891537147678814,-0.06645344034125844,0.19906128877243082,-0.16131834041003087,-0.30317204495398264,0.4841507151654931,0.1885011251128421,0.019404825611880592,0.40022026047100095,0.31308036043258813,0.4926324579620168,0.0021541789258585067,0.05637324156092749,-0.19215635301354236,-0.0808206518360451,0.08235614334930379,-0.0131706269888548,0.10961824532310649,1.7131318691318505e-05
g026,-0.3320357222098993,-0.25948101046702443,0.18683232797491256,-0.0918349232292465,-0.05717620325275242,-0.06843142448366642,-0.18914434955197987,-0.05217121287435916,0.027908726894267148,-0.09826413246300772,-0.11988034705178369,0.04032535469544814,-0.0038876820091360304,-0.009836766344939478,-0.044858532602750356,0.8264109998984286,-0.14428253486559753,-0.017264548606328468,-0.0023507724577623854
oopm2,0.018242960984811183,0.03733561607920262,0.10982989118817114,0.616781690890873,-0.03557218921489842,0.20578927653770096,0.016653011617506635,-0.1238412716021669,-0.12149171279403674,-0.01842989341147636,-0.03221406607702222,0.6196991232790796,0.37299632781128234,-0.07382975204032967,0.010382750554415135,0.04013331713104084,-0.008798963904743873,-0.004937437334708347,-0.0006102051388303195
a002_age,0.36722583790745383,0.00598592972008339,0.4115569820607104,-0.06834270490297985,0.22096415820421594,0.13294517074536802,-0.18742764845835125,0.027461362755796918,-0.009312227592693328,-0.16994625009364744,-0.1051812821660241,0.023674550456283874,-0.07842258347293977,0.1772177947231741,0.0032850891387409577,0.01658544200784962,0.012175365979376164,0.7142028170929036,0.002932206025118061
iadl,0.14030911363568532,0.16184085235684784,0.04323453602866178,-0.07045437746938897,0.4359359278307613,0.12889440355161774,0.49311578301093184,0.08824597934928229,-0.35395945511026167,0.09502200092079063,0.0744367921290303,-0.2938138004702626,0.4039713656149317,-0.013281854685522,0.08573423182451824,0.2977087078806631,-0.026915714485758736,-0.05849703515272511,-0.0017584394376974474
g029,-0.2623755046187387,-0.3118537120157583,0.3152441797907466,0.0028119236073341396,-0.05900240471090467,-0.2083928715352537,0.3012170851976608,0.052985484034964656,-0.14556640694386677,-0.10929476547256552,0.16383722385533775,0.07237069671587675,-0.0682433884432942,0.04936567875704129,0.17223211712164957,-0.07912100384370026,0.694967199299413,0.0534655778664215,0.0005199754655587699
bmi,-0.10811164459083732,0.5271619113143337,0.2920364948614392,0.06119577450884592,-0.16366329394177126,-0.38958113221128066,-0.11110465912289026,0.01663860766445304,0.019523101136361236,0.1886582033269886,0.2062163551332737,-0.03882285553361516,0.08347170900928154,0.1070041786310758,0.14516556995150118,0.04607502565105556,-0.06466315442348879,0.04313756041322809,-0.5500370181352833
g007,-0.20005551230853186,-0.2066671953645566,0.25035097126788813,0.006617266475387708,0.025391139713115934,0.025756117404090773,-0.29936502195846176,-0.11334978643775577,0.2006831065919355,0.08927061987521202,-0.2868788036199309,-0.3893353496117992,0.6069509432503054,-0.13051048091314071,0.0028063646086836044,-0.27873239817686724,0.06919266926746248,-0.027053176590509306,-0.0023267099100305402
