variable,pca_score,pca_score_normalizado
oopm2,0.0333256342169463,1.0
s_sum,0.033324174033983356,0.9999561843908674
c334,0.03332153594644952,0.9998770234807806
c330,0.03331440890128676,0.9996631627297333
c333,0.03331084776821173,0.9995563040559614
a002m,0.03331044267127768,0.9995441483402919
mniw_d,0.03330296356390394,0.9993197232828406
c340,0.033302226552614535,0.9992976078360765
g028,0.033262911455265776,0.9981178824303175
c306,0.03325789274494642,0.9979672863370315
c337,0.033235612083241245,0.9972987120629416
hhinc,0.03321929536174585,0.9968090973300554
year2,0.03321414876305977,0.996654663699398
pinc,0.03320319707907326,0.9963260372758103
iadl,0.03315625541081896,0.994917461884605
g007,0.033074161835765614,0.9924540856583965
bmi,0.03299400233901384,0.9900487451859559
region1,0.03299165468520832,0.9899782993006583
pnetassets,0.032823719874054205,0.9849390910425084
passets,0.03280758051648947,0.9844547984568169
c105,0.03263874816693017,0.9793886578258474
a002_age,0.03172112050789948,0.9518534681560263
a002y,0.0317211205078994,0.951853468156024
g029,0.03166383224228516,0.9501344231337658
c107,0.03048196521380775,0.9146702209888469
g027,0.027019153161077548,0.8107618593298408
mgrip,0.026297874919469097,0.7891185130423252
g030,0.02573323905372185,0.7721755236884984
ba068,0.025485274060353256,0.7647348552902807
g026,0.024990138301539448,0.7498773508361861
