variable,tipo,mutual_information,correlacion_objetivo,correlacion_absoluta,mi_normalizada,correlacion_normalizada,selection_score,porcentaje_nulos_train,seleccion_manual
hhinc,continua,0.0046304067222957546,-0.01973109837114588,0.01973109837114588,1.0,0.38524396806919786,0.8155731904207593,6.535823170731707,False
ba003,categórica,0.0029493299962302976,,,0.6369483661184779,0.0,0.6369483661184779,0.0,False
c306,continua,0.0036883206223741194,-0.010059028575549363,0.010059028575549363,0.7965435529917015,0.1963996129598657,0.6165003709821507,36.37576219512195,False
region1,continua,0.0036949628992681838,-0.003912393051914159,0.003912393051914159,0.7979780440186088,0.07638833863247511,0.5815011324027687,0.0,False
g026,continua,0.0029480496176150783,-0.021721888842960998,0.021721888842960998,0.6366718507512523,0.4241135741362354,0.5729043677667472,0.0,False
oopm2,continua,0.002581803001177496,0.0229638017131845,0.0229638017131845,0.5575758580225624,0.4483615624195822,0.5248115693416683,22.732469512195124,False
a002_age,continua,0.002339802410833647,-0.026251703914608748,0.026251703914608748,0.5053125030177853,0.5125568984761105,0.5074858216552829,0.0,True
iadl,continua,0.002052563454816525,0.03266808159850219,0.03266808159850219,0.44327930091611145,0.6378348101806379,0.5016459536954694,0.0,False
g029,continua,0.003035952176297707,-0.006763757260878249,0.006763757260878249,0.6556556169632725,0.13206039710632997,0.4985770510061897,2.1722560975609753,False
bmi,continua,0.002345311117552429,0.02294417699057559,0.02294417699057559,0.5065021839786946,0.4479783954073915,0.48894504740730366,1.8292682926829267,False
g007,continua,0.00236901620622354,-0.022260080556746865,0.022260080556746865,0.5116216238233565,0.4346216111193174,0.4885216200121448,36.394817073170735,False
c334,continua,0.0030635619459820074,0.003381787172196016,0.003381787172196016,0.6616183263622886,0.06602841285751718,0.48294135231085716,0.0,False
pinc,continua,0.002267830560244821,-0.015293093010576757,0.015293093010576757,0.48976919226664206,0.29859320168721826,0.4324163950928149,23.79954268292683,False
c107,continua,0.0014804522760678562,0.023027199424575328,0.023027199424575328,0.3197240253084827,0.44959938433112995,0.35868663301527687,1.676829268292683,False
c318,categórica,0.0014687814210716968,,,0.3172035436972317,0.0,0.3172035436972317,0.0,False
c330,continua,0.0,0.05121715070591777,0.05121715070591777,0.0,1.0,0.3,0.038109756097560975,False
year2,continua,0.001860071421270204,-0.0014274002274631407,0.0014274002274631407,0.4017079994968522,0.027869575089389243,0.2895564721746133,0.5907012195121951,False
ba068,continua,0.00020757400728022013,-0.043108590687569205,0.043108590687569205,0.04482846102497558,0.8416827194291446,0.2838847385462263,0.11432926829268292,False
g028,continua,0.0008858351413290055,0.024925117886877936,0.024925117886877936,0.19130827904677208,0.48665569137171893,0.27991250274425616,17.454268292682926,False
c152,categórica,0.001262450884285613,,,0.27264362722324537,0.0,0.27264362722324537,0.0,False
c001,categórica,0.0012309889053129762,,,0.2658489802603457,0.0,0.2658489802603457,0.0,False
adl,categórica,0.0011073351455590237,,,0.23914425059619973,0.0,0.23914425059619973,0.0,False
smoke,categórica,0.0009956674030901416,,,0.215028066173092,0.0,0.215028066173092,0.0,True
a035_02,categórica,0.0009814907077939543,,,0.2119664138936226,0.0,0.2119664138936226,41.787347560975604,False
c210,categórica,0.0009445026700233812,,,0.2039783385497283,0.0,0.2039783385497283,0.0,False
a032,categórica,0.00093052429955809,,,0.2009595172444671,0.0,0.2009595172444671,0.0,False
f001type,categórica,0.0009300919145156438,,,0.20086613774923523,0.0,0.20086613774923523,0.038109756097560975,False
present_ecotype,categórica,0.0009238426817155393,,,0.1995165299987942,0.0,0.1995165299987942,0.0,False
c340,continua,0.0,0.03271105577716478,0.03271105577716478,0.0,0.6386738685442971,0.19160216056328913,0.019054878048780487,False
c105,continua,0.0,0.03149057508982731,0.03149057508982731,0.0,0.6148443374103746,0.18445330122311238,0.7050304878048781,False
gender1,categórica,0.0006851780408110783,,,0.14797361914492194,0.0,0.14797361914492194,0.0,True
alc,categórica,0.0002956913657814215,,,0.06385861621132446,0.0,0.06385861621132446,0.0,True
