componente,variable,carga,carga_absoluta
PC1,a002_age,0.36722583790745383,0.36722583790745383
PC1,ba068,0.3425106658669312,0.3425106658669312
PC1,g026,-0.3320357222098993,0.3320357222098993
PC1,c107,-0.3176036177345084,0.3176036177345084
PC1,pinc,-0.3043283437446718,0.3043283437446718
PC1,c105,-0.29395729388424013,0.29395729388424013
PC1,year2,-0.2693577916314961,0.2693577916314961
PC1,g029,-0.2623755046187387,0.2623755046187387
PC1,hhinc,-0.2623658854378119,0.2623658854378119
PC1,g028,-0.23470748003516045,0.23470748003516045
PC2,c105,0.5740312516867014,0.5740312516867014
PC2,bmi,0.5271619113143337,0.5271619113143337
PC2,g029,-0.3118537120157583,0.3118537120157583
PC2,g028,-0.2708207551942709,0.2708207551942709
PC2,g026,-0.25948101046702443,0.25948101046702443
PC2,c107,0.2531135097613087,0.2531135097613087
PC2,g007,-0.2066671953645566,0.2066671953645566
PC2,iadl,0.16184085235684784,0.16184085235684784
PC2,hhinc,-0.10639410644256093,0.10639410644256093
PC2,region1,-0.06645344034125844,0.06645344034125844
PC3,ba068,0.4419402748380575,0.4419402748380575
PC3,g028,0.4176366686846153,0.4176366686846153
PC3,a002_age,0.4115569820607104,0.4115569820607104
PC3,g029,0.3152441797907466,0.3152441797907466
PC3,bmi,0.2920364948614392,0.2920364948614392
PC3,c105,0.25681140749172177,0.25681140749172177
PC3,g007,0.25035097126788813,0.25035097126788813
PC3,region1,0.19906128877243082,0.19906128877243082
PC3,g026,0.18683232797491256,0.18683232797491256
PC3,year2,-0.15341906808870198,0.15341906808870198
PC4,oopm2,0.616781690890873,0.616781690890873
PC4,c330,0.5714772793282138,0.5714772793282138
PC4,c334,0.317941209982362,0.317941209982362
PC4,c306,0.29279692394012846,0.29279692394012846
PC4,c107,-0.18042403142597127,0.18042403142597127
PC4,region1,-0.16131834041003087,0.16131834041003087
PC4,hhinc,0.12054736429347292,0.12054736429347292
PC4,g026,-0.0918349232292465,0.0918349232292465
PC4,ba068,-0.07408301744122026,0.07408301744122026
PC4,iadl,-0.07045437746938897,0.07045437746938897
PC5,iadl,0.4359359278307613,0.4359359278307613
PC5,c306,0.4225837879404056,0.4225837879404056
PC5,c340,0.3814299471599429,0.3814299471599429
PC5,hhinc,0.3203102963097088,0.3203102963097088
PC5,region1,-0.30317204495398264,0.30317204495398264
PC5,pinc,0.28012906164386814,0.28012906164386814
PC5,a002_age,0.22096415820421594,0.22096415820421594
PC5,year2,-0.20782906238912383,0.20782906238912383
PC5,bmi,-0.16366329394177126,0.16366329394177126
PC5,c330,-0.16100738690358843,0.16100738690358843
