iteration,pr_auc,auto_class_weights,border_count,depth,iterations,l2_leaf_reg,learning_rate,random_strength
4,0.04738510896322665,,64,5,1382,2.88364248760586,0.009296635094108835,3.998457237904612
2,0.04655710447762459,SqrtBalanced,254,7,1171,11.130017244134907,0.008548026800405454,3.8696122574142664
8,0.04512711599704065,SqrtBalanced,254,3,1325,3.221661387508076,0.015623558467229952,0.12586543585653037
16,0.042145717995103846,SqrtBalanced,64,5,1328,5.84966531575265,0.09568764215197065,0.06707104906311694
17,0.04097450483688181,,254,4,1191,0.8022266750566047,0.008851688109641863,0.22597636671851448
14,0.03878503621850876,SqrtBalanced,128,3,1351,21.955002548789,0.05948717920639919,0.016748729494641602
9,0.03733508881979082,,254,4,1029,3.588331785946804,0.028542125495420935,2.6772156115427355
10,0.03682802483077747,SqrtBalanced,254,6,1316,33.74169222235147,0.12125443791066307,0.5811853668319805
1,0.03637965534552365,SqrtBalanced,64,5,1395,6.890821042295025,0.013218880805231262,0.003775887545682684
11,0.03532634221239956,SqrtBalanced,64,4,516,1.7124332691738022,0.045893011198758264,0.0033210428646429763
12,0.035311619055271144,SqrtBalanced,64,3,820,14.744202681529945,0.01516640288579843,0.0010481565330759974
19,0.035299126172528214,SqrtBalanced,254,5,877,7.712087381469525,0.020718969177634387,0.002455953290455532
15,0.03512925883519713,SqrtBalanced,254,7,398,6.672105479433273,0.019370220863443977,0.11913039927033144
13,0.034608843579488575,SqrtBalanced,254,3,691,12.199337496069287,0.09578106509393489,0.0018788363146234185
18,0.03450287739740878,,128,7,530,3.0197127730360926,0.09105528376787879,0.007019683821378796
6,0.03255653880592206,,254,4,687,31.05022355174078,0.04903804221064804,0.026646739856563358
7,0.03154451535789256,Balanced,64,4,391,3.440486102695033,0.011849284257325558,0.06786479434196534
5,0.031227960533231014,SqrtBalanced,128,5,1131,3.865999493337556,0.1274192623757014,0.32842573382490514
20,0.027248010910284108,Balanced,128,5,489,0.809857707838465,0.016662097447505058,0.038006589374604244
3,0.026533143159569193,Balanced,128,4,1255,1.1168768535734919,0.021301117634582294,0.08730885649333642
