variable,tipo,nulos,porcentaje_nulos
labor_st,categórica,3109,47.39329268292683
retired,categórica,3109,47.39329268292683
livewith,categórica,2952,45.0
job_search,categórica,2832,43.170731707317074
contact2,categórica,2828,43.109756097560975
ba075,categórica,2816,42.926829268292686
c068,categórica,2762,42.103658536585364
c303,categórica,2761,42.088414634146346
a035_02,categórica,2703,41.204268292682926
c109,categórica,2595,39.55792682926829
c102,categórica,2457,37.45426829268293
g007,continua,2408,36.70731707317073
c306,continua,2356,35.91463414634146
passets,continua,2243,34.19207317073171
pnetassets,continua,2135,32.545731707317074
pinc,continua,1552,23.65853658536585
oopm2,continua,1489,22.698170731707318
residence_,categórica,1346,20.518292682926827
g028,continua,1134,17.286585365853657
hhinc,continua,431,6.570121951219512
ecoact_s,categórica,375,5.716463414634147
c302,categórica,368,5.609756097560976
c305,categórica,367,5.594512195121951
mgrip,continua,365,5.564024390243903
edu_s,categórica,356,5.426829268292683
g029,continua,148,2.2560975609756095
bmi,continua,125,1.9054878048780488
c107,continua,115,1.753048780487805
c144,categórica,42,0.6402439024390244
c142,categórica,42,0.6402439024390244
c151,categórica,42,0.6402439024390244
c149,categórica,42,0.6402439024390244
c150,categórica,42,0.6402439024390244
c148,categórica,42,0.6402439024390244
c143,categórica,42,0.6402439024390244
c145,categórica,42,0.6402439024390244
c146,categórica,42,0.6402439024390244
c105,continua,42,0.6402439024390244
c147,categórica,42,0.6402439024390244
year2,continua,39,0.5945121951219512
c081,categórica,20,0.3048780487804878
s_sum,continua,16,0.24390243902439024
c301,categórica,8,0.12195121951219512
ba068,continua,8,0.12195121951219512
c337,continua,6,0.09146341463414635
c310,categórica,5,0.07621951219512195
f001type,categórica,3,0.04573170731707318
edu,categórica,3,0.04573170731707318
c330,continua,2,0.03048780487804878
c340,continua,1,0.01524390243902439
region1,continua,0,0.0
g030,continua,0,0.0
mniw_d,continua,0,0.0
a002m,continua,0,0.0
a002y,continua,0,0.0
a002_age,continua,0,0.0
iadl,continua,0,0.0
g027,continua,0,0.0
g026,continua,0,0.0
c334,continua,0,0.0
c333,continua,0,0.0
c108,categórica,0,0.0
c082,categórica,0,0.0
c085,categórica,0,0.0
c056,categórica,0,0.0
c005,categórica,0,0.0
c106,categórica,0,0.0
alc,categórica,0,0.0
a003,categórica,0,0.0
ba003,categórica,0,0.0
ba_resp,categórica,0,0.0
bb_adl1,categórica,0,0.0
bb_adl2,categórica,0,0.0
bb_adl3,categórica,0,0.0
bp1,categórica,0,0.0
c001,categórica,0,0.0
c003,categórica,0,0.0
a030,categórica,0,0.0
a032,categórica,0,0.0
adl,categórica,0,0.0
c210,categórica,0,0.0
c207,categórica,0,0.0
c215,categórica,0,0.0
c209,categórica,0,0.0
c208,categórica,0,0.0
c211,categórica,0,0.0
c204,categórica,0,0.0
c206,categórica,0,0.0
c205,categórica,0,0.0
c152,categórica,0,0.0
c201,categórica,0,0.0
c202,categórica,0,0.0
c203,categórica,0,0.0
c550,categórica,0,0.0
c346,categórica,0,0.0
c343,categórica,0,0.0
c318,categórica,0,0.0
c313,categórica,0,0.0
c214,categórica,0,0.0
c217,categórica,0,0.0
c216,categórica,0,0.0
c213,categórica,0,0.0
c212,categórica,0,0.0
chronic_g,categórica,0,0.0
chronic_h,categórica,0,0.0
chronic_i,categórica,0,0.0
chronic_a,categórica,0,0.0
chronic_c,categórica,0,0.0
chronic_b,categórica,0,0.0
enu_type,categórica,0,0.0
ea_resp,categórica,0,0.0
chronic_sum,categórica,0,0.0
chronic_d,categórica,0,0.0
chronic_f,categórica,0,0.0
gender1,categórica,0,0.0
hhsize,categórica,0,0.0
fam1,categórica,0,0.0
mniw_m,categórica,0,0.0
marital,categórica,0,0.0
panel_n,categórica,0,0.0
present_ecotype,categórica,0,0.0
region2,categórica,0,0.0
present_labor,categórica,0,0.0
region3,categórica,0,0.0
smoke,categórica,0,0.0
