,nulos,porcentaje_nulos,valores_unicos
labor_st,3109,47.39329268292683,3
retired,3109,47.39329268292683,3
livewith,2952,45.0,5
job_search,2832,43.170731707317074,2
contact2,2828,43.109756097560975,8
ba075,2816,42.926829268292686,2
c068,2762,42.103658536585364,2
c303,2761,42.088414634146346,2
a035_02,2703,41.204268292682926,10
c109,2595,39.55792682926829,5
c102,2457,37.45426829268293,2
g007,2408,36.70731707317073,11
c306,2356,35.91463414634146,53
passets,2243,34.19207317073171,1167
pnetassets,2135,32.545731707317074,1298
pinc,1552,23.65853658536585,1290
oopm2,1489,22.698170731707318,350
residence_,1346,20.518292682926827,2
g028,1134,17.286585365853657,11
hhinc,431,6.570121951219512,261
ecoact_s,375,5.716463414634147,5
c302,368,5.609756097560976,2
c305,367,5.594512195121951,5
mgrip,365,5.564024390243903,308
edu_s,356,5.426829268292683,5
g029,148,2.2560975609756095,11
bmi,125,1.9054878048780488,1004
c107,115,1.753048780487805,45
c142,42,0.6402439024390244,4
c144,42,0.6402439024390244,4
c146,42,0.6402439024390244,4
c145,42,0.6402439024390244,4
c148,42,0.6402439024390244,4
c151,42,0.6402439024390244,4
c150,42,0.6402439024390244,4
c147,42,0.6402439024390244,4
c105,42,0.6402439024390244,68
c143,42,0.6402439024390244,4
c149,42,0.6402439024390244,4
year2,39,0.5945121951219512,61
c081,20,0.3048780487804878,2
s_sum,16,0.24390243902439024,12
c301,8,0.12195121951219512,2
ba068,8,0.12195121951219512,22
c337,6,0.09146341463414635,61
c310,5,0.07621951219512195,2
f001type,3,0.04573170731707318,5
edu,3,0.04573170731707318,4
c330,2,0.03048780487804878,35
c340,1,0.01524390243902439,17
c108,0,0.0,2
c085,0,0.0,2
c001,0,0.0,5
c106,0,0.0,5
c082,0,0.0,2
bb_adl1,0,0.0,2
bb_adl2,0,0.0,2
a030,0,0.0,6
a032,0,0.0,10
pid,0,0.0,6560
a002y,0,0.0,48
a003,0,0.0,2
a002m,0,0.0,12
a002_age,0,0.0,48
c217,0,0.0,3
c214,0,0.0,3
c215,0,0.0,3
c216,0,0.0,3
c213,0,0.0,3
c210,0,0.0,3
c211,0,0.0,3
c212,0,0.0,3
c208,0,0.0,3
c207,0,0.0,3
c206,0,0.0,3
c209,0,0.0,3
c205,0,0.0,3
c202,0,0.0,3
c203,0,0.0,3
c204,0,0.0,3
c152,0,0.0,5
c201,0,0.0,3
ba_resp,0,0.0,2
ba003,0,0.0,10
adl,0,0.0,8
alc,0,0.0,3
bp1,0,0.0,4
bb_adl3,0,0.0,2
c056,0,0.0,2
c005,0,0.0,4
c003,0,0.0,2
chronic_c,0,0.0,2
c334,0,0.0,43
c333,0,0.0,29
c313,0,0.0,2
c318,0,0.0,10
g026,0,0.0,11
fam1,0,0.0,5
enu_type,0,0.0,2
chronic_f,0,0.0,2
chronic_h,0,0.0,2
chronic_i,0,0.0,2
chronic_sum,0,0.0,7
ea_resp,0,0.0,2
chronic_d,0,0.0,2
chronic_g,0,0.0,3
c343,0,0.0,2
c346,0,0.0,2
c550,0,0.0,2
chronic_a,0,0.0,2
chronic_b,0,0.0,2
iadl,0,0.0,11
mniw_m,0,0.0,5
mniw_d,0,0.0,31
marital,0,0.0,5
g027,0,0.0,11
g030,0,0.0,11
gender1,0,0.0,2
hhsize,0,0.0,10
panel_n,0,0.0,6
region2,0,0.0,2
region1,0,0.0,15
present_labor,0,0.0,2
present_ecotype,0,0.0,3
region3,0,0.0,3
smoke,0,0.0,3
wgt_c,0,0.0,930
incident_liver_disease_10y,0,0.0,2
