variable,observaciones_validas,minimo,q1,mediana,q3,maximo,limite_inferior_iqr,limite_superior_iqr,numero_outliers,porcentaje_outliers,asimetria
c330,6558,0.0,0.0,0.0,1.0,310.0,-1.5,2.5,1285,19.594388533089358,18.392156245711192
c334,6560,0.0,0.0,0.0,1.0,300.0,-1.5,2.5,1141,17.393292682926827,10.83532174026118
year2,6521,-6.0,1934.0,1945.0,1954.0,1982.0,1904.0,1984.0,1085,16.638552369268517,-1.7928755291634517
oopm2,5071,0.0,3.0,18.0,53.0,9997.0,-72.0,128.0,551,10.865706961151647,26.66495633129655
pnetassets,4425,-96700.0,500.0,3200.0,10120.0,365500.0,-13930.0,24550.0,412,9.310734463276836,6.753611607378672
passets,4317,10.0,992.0,4300.0,11920.0,365500.0,-15400.0,28312.0,382,8.848737549223998,6.735399745398656
c337,6554,0.0,0.0,2.0,6.0,360.0,-9.0,15.0,518,7.903570338724443,9.54883458601467
pinc,5008,2.0,152.0,686.0,1825.0,48000.0,-2357.5,4334.5,297,5.930511182108626,6.6812574019124025
g029,6412,0.0,70.0,80.0,90.0,100.0,40.0,120.0,266,4.148471615720524,-1.1313775507704937
g026,6560,0.0,50.0,60.0,80.0,100.0,5.0,125.0,234,3.567073170731707,-0.569229278716342
c306,4204,1.0,3.0,6.0,10.0,95.0,-7.5,20.5,116,2.759276879162702,4.75958500903332
hhinc,6129,0.0,400.0,1200.0,3000.0,60000.0,-3500.0,6900.0,141,2.3005384238864415,7.40800143489132
g028,5426,0.0,60.0,70.0,80.0,100.0,30.0,110.0,122,2.248433468485072,-0.8829814673455333
ba068,6552,0.0,0.0,2.0,5.0,34.0,-7.5,12.5,146,2.2283272283272284,1.4241226999563614
bmi,6435,13.840830449827,21.5450907971684,23.3066800530675,24.9739854318418,37.7777777777778,16.401748845158295,30.1173273838519,110,1.7094017094017095,0.44202464662814706
g030,6560,0.0,50.0,70.0,80.0,100.0,5.0,125.0,99,1.5091463414634145,-0.7616018776128524
c105,6518,30.0,55.0,60.0,67.0,105.0,37.0,85.0,54,0.8284749923289352,0.33065224847393504
s_sum,6544,0.0,2.0,3.0,5.0,11.0,-2.5,9.5,11,0.1680929095354523,0.18176172823650347
mgrip,6195,1.25,19.5,24.25,32.375,69.5,0.1875,51.6875,6,0.09685230024213075,0.40804206730243475
a002_age,6560,45.0,52.0,59.0,67.0,97.0,29.5,89.5,4,0.06097560975609756,0.3233677193900754
a002y,6560,1909.0,1939.0,1947.0,1954.0,1961.0,1916.5,1976.5,4,0.06097560975609756,-0.3233677193900754
c107,6445,137.0,156.0,160.0,168.0,187.0,138.0,186.0,2,0.03103180760279286,0.17918927924479847
g007,4152,0.0,50.0,70.0,90.0,100.0,-10.0,150.0,0,0.0,-0.7228312393729309
c340,6559,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0,0.0,42.45273464915078
c333,6560,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0,0.0,18.228888948835205
a002m,6560,1.0,3.0,7.0,10.0,12.0,-7.5,20.5,0,0.0,-0.0008209444352382372
iadl,6560,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0,0.0,5.400193713330311
g027,6560,0.0,30.0,50.0,70.0,100.0,-30.0,130.0,0,0.0,-0.258634707299943
mniw_d,6560,1.0,9.0,18.0,25.0,31.0,-15.0,49.0,0,0.0,-0.2572600681506999
region1,6560,11.0,22.0,31.0,34.0,38.0,4.0,52.0,0,0.0,-0.692025590004885
