variable,porcentaje_nulos,valores_unicos,motivo
industrial,99.9390243902439,3,Más del 50% de valores ausentes
businessfarm,99.92378048780488,5,Más del 50% de valores ausentes
unemployment,99.83231707317073,9,Más del 50% de valores ausentes
personal,99.77134146341463,15,Más del 50% de valores ausentes
d_com108,99.6951219512195,6,Más del 50% de valores ausentes
size_c,99.63414634146342,9,Más del 50% de valores ausentes
d_com102,99.48170731707317,16,Más del 50% de valores ausentes
g012,99.46646341463415,9,Más del 50% de valores ausentes
d_com101,99.46646341463415,17,Más del 50% de valores ausentes
d_com098,99.375,2,Más del 50% de valores ausentes
a035_06,99.32926829268293,8,Más del 50% de valores ausentes
exploit,99.22256097560975,25,Más del 50% de valores ausentes
c024m,99.20731707317073,12,Más del 50% de valores ausentes
d_com060,99.20731707317073,2,Más del 50% de valores ausentes
other,99.13109756097562,32,Más del 50% de valores ausentes
c044m,99.10060975609755,12,Más del 50% de valores ausentes
d_com138,99.00914634146342,5,Más del 50% de valores ausentes
d_com093,98.97865853658536,3,Más del 50% de valores ausentes
d_com095,98.97865853658536,19,Más del 50% de valores ausentes
l_sum,98.84146341463415,3,Más del 50% de valores ausentes
realestateinc,98.71951219512195,40,Más del 50% de valores ausentes
c064m,98.6890243902439,12,Más del 50% de valores ausentes
c135,98.61280487804878,8,Más del 50% de valores ausentes
c039m,98.59756097560975,12,Más del 50% de valores ausentes
c017m,98.49085365853658,12,Más del 50% de valores ausentes
c133,98.49085365853658,11,Más del 50% de valores ausentes
c024y,98.42987804878048,35,Más del 50% de valores ausentes
d_com110,98.41463414634146,8,Más del 50% de valores ausentes
pensionins,98.41463414634146,94,Más del 50% de valores ausentes
d_com107,98.39939024390245,2,Más del 50% de valores ausentes
guarantee,98.29268292682927,45,Más del 50% de valores ausentes
sideline,98.27743902439025,34,Más del 50% de valores ausentes
c044y,98.07926829268293,23,Más del 50% de valores ausentes
fromothers,98.0030487804878,43,Más del 50% de valores ausentes
d_com105,97.95731707317074,2,Más del 50% de valores ausentes
c034m,97.92682926829268,12,Más del 50% de valores ausentes
c017y,97.85060975609755,23,Más del 50% de valores ausentes
d_com125,97.83536585365854,3,Más del 50% de valores ausentes
d_com137,97.8201219512195,5,Más del 50% de valores ausentes
d_com118,97.8201219512195,6,Más del 50% de valores ausentes
d_com130,97.8201219512195,22,Más del 50% de valores ausentes
g011,97.80487804878048,11,Más del 50% de valores ausentes
c039y,97.71341463414635,22,Más del 50% de valores ausentes
fromparent,97.69817073170731,18,Más del 50% de valores ausentes
c064y,97.54573170731707,20,Más del 50% de valores ausentes
d_com106,97.53048780487805,2,Más del 50% de valores ausentes
particular,97.51524390243902,57,Más del 50% de valores ausentes
d_com015,97.2560975609756,28,Más del 50% de valores ausentes
d_com068,97.21036585365853,2,Más del 50% de valores ausentes
a035_05,96.85975609756098,9,Más del 50% de valores ausentes
toothers,96.46341463414633,36,Más del 50% de valores ausentes
d_com104,95.9298780487805,2,Más del 50% de valores ausentes
c034y,95.82317073170732,25,Más del 50% de valores ausentes
wholelifeins,95.71646341463415,213,Más del 50% de valores ausentes
house_sum,95.60975609756098,64,Más del 50% de valores ausentes
c012m,95.0,12,Más del 50% de valores ausentes
c309,94.54268292682927,2,Más del 50% de valores ausentes
a035_03,94.375,10,Más del 50% de valores ausentes
bp1_2,93.90243902439023,3,Más del 50% de valores ausentes
regularins,93.73475609756098,338,Más del 50% de valores ausentes
g010,93.70426829268293,11,Más del 50% de valores ausentes
d_com025,93.15548780487805,15,Más del 50% de valores ausentes
c131,92.91158536585365,15,Más del 50% de valores ausentes
bb_adl_num1,92.59146341463415,5,Más del 50% de valores ausentes
bb_adl_num2,92.59146341463415,5,Más del 50% de valores ausentes
f013_n,92.57621951219512,65,Más del 50% de valores ausentes
c049m,92.13414634146342,12,Más del 50% de valores ausentes
d_com139m,91.49390243902438,12,Más del 50% de valores ausentes
bp6,91.32621951219512,10,Más del 50% de valores ausentes
bp3,91.32621951219512,3,Más del 50% de valores ausentes
bp5,91.32621951219512,10,Más del 50% de valores ausentes
bp4,91.32621951219512,4,Más del 50% de valores ausentes
g003,90.67073170731707,11,Más del 50% de valores ausentes
agriculture,90.51829268292683,59,Más del 50% de valores ausentes
national,90.35060975609757,89,Más del 50% de valores ausentes
oopm1,90.33536585365853,73,Más del 50% de valores ausentes
n_days,89.90853658536585,51,Más del 50% de valores ausentes
c012y,89.8780487804878,36,Más del 50% de valores ausentes
insurance,89.8170731707317,484,Más del 50% de valores ausentes
target1,89.6798780487805,2,Más del 50% de valores ausentes
g004,89.42073170731707,11,Más del 50% de valores ausentes
socialwelfare,88.27743902439025,32,Más del 50% de valores ausentes
g009,88.26219512195121,11,Más del 50% de valores ausentes
financial,88.20121951219512,47,Más del 50% de valores ausentes
annuity,88.10975609756098,126,Más del 50% de valores ausentes
tochildren,87.57621951219512,113,Más del 50% de valores ausentes
assetinc,87.3170731707317,85,Más del 50% de valores ausentes
c007m,87.1189024390244,12,Más del 50% de valores ausentes
socialsecurity,86.35670731707317,88,Más del 50% de valores ausentes
d_com145,86.17378048780488,7,Más del 50% de valores ausentes
c124m,85.99085365853658,12,Más del 50% de valores ausentes
toparent,85.57926829268293,52,Más del 50% de valores ausentes
c049y,84.42073170731707,39,Más del 50% de valores ausentes
g008,84.0701219512195,11,Más del 50% de valores ausentes
selfemployed,83.97865853658537,79,Más del 50% de valores ausentes
d_com139y,83.41463414634146,40,Más del 50% de valores ausentes
d_com142,83.3689024390244,11,Más del 50% de valores ausentes
d_com149,83.26219512195122,2,Más del 50% de valores ausentes
d_com144,83.26219512195122,2,Más del 50% de valores ausentes
d_com157,83.26219512195122,2,Más del 50% de valores ausentes
d_com140,83.26219512195122,12,Más del 50% de valores ausentes
c129,82.2560975609756,21,Más del 50% de valores ausentes
d_com037,81.6310975609756,60,Más del 50% de valores ausentes
bm4,80.97560975609757,4,Más del 50% de valores ausentes
bm3,80.97560975609757,3,Más del 50% de valores ausentes
bm6,80.97560975609757,10,Más del 50% de valores ausentes
bm5,80.97560975609757,10,Más del 50% de valores ausentes
d_com052,80.79268292682927,93,Más del 50% de valores ausentes
d_com057,80.41158536585365,4,Más del 50% de valores ausentes
d_com053,80.39634146341463,4,Más del 50% de valores ausentes
d_com055,80.39634146341463,2,Más del 50% de valores ausentes
d_com081,80.39634146341463,4,Más del 50% de valores ausentes
full_parttime,80.38109756097562,2,Más del 50% de valores ausentes
d_com054,80.38109756097562,3,Más del 50% de valores ausentes
d_com066,80.38109756097562,2,Más del 50% de valores ausentes
d_com056,80.38109756097562,2,Más del 50% de valores ausentes
d_com024,80.38109756097562,2,Más del 50% de valores ausentes
d_com082,80.38109756097562,4,Más del 50% de valores ausentes
d_com049,80.38109756097562,8,Más del 50% de valores ausentes
d_com014,80.38109756097562,2,Más del 50% de valores ausentes
wage,79.71036585365854,163,Más del 50% de valores ausentes
a035_04,78.04878048780488,10,Más del 50% de valores ausentes
d_com001,77.8048780487805,7,Más del 50% de valores ausentes
size_n,77.48475609756098,106,Más del 50% de valores ausentes
publictrans,77.21036585365853,197,Más del 50% de valores ausentes
job_startm,77.01219512195122,12,Más del 50% de valores ausentes
pliabilities,76.72256097560975,174,Más del 50% de valores ausentes
a035_01,76.17378048780488,10,Más del 50% de valores ausentes
otherasset,75.91463414634147,74,Más del 50% de valores ausentes
livenear,75.51829268292683,7,Más del 50% de valores ausentes
c007y,74.17682926829269,38,Más del 50% de valores ausentes
transferto,74.10060975609755,201,Más del 50% de valores ausentes
contact1,73.49085365853658,6,Más del 50% de valores ausentes
c127,67.02743902439025,27,Más del 50% de valores ausentes
bp1_1,66.35670731707317,2,Más del 50% de valores ausentes
c312,63.70426829268293,55,Más del 50% de valores ausentes
c304,63.53658536585366,2,Más del 50% de valores ausentes
c311,63.170731707317074,11,Más del 50% de valores ausentes
d_com084,60.88414634146342,4,Más del 50% de valores ausentes
d_com085,60.88414634146342,4,Más del 50% de valores ausentes
c126,60.792682926829265,8,Más del 50% de valores ausentes
c128,60.77743902439025,7,Más del 50% de valores ausentes
addic,60.77743902439025,3,Más del 50% de valores ausentes
c134,60.77743902439025,7,Más del 50% de valores ausentes
c130,60.77743902439025,7,Más del 50% de valores ausentes
c132,60.77743902439025,5,Más del 50% de valores ausentes
c111,60.4420731707317,14,Más del 50% de valores ausentes
c112,60.4420731707317,29,Más del 50% de valores ausentes
livewithnm,59.95426829268292,4,Más del 50% de valores ausentes
c124y,58.993902439024396,66,Más del 50% de valores ausentes
job,58.1859756097561,10,Más del 50% de valores ausentes
chronic_j,58.12500000000001,2,Más del 50% de valores ausentes
ind,58.018292682926834,20,Más del 50% de valores ausentes
job_starty,57.98780487804878,64,Más del 50% de valores ausentes
earned,57.65243902439025,264,Más del 50% de valores ausentes
fromchildren,57.05792682926829,207,Más del 50% de valores ausentes
d_com031,56.98170731707317,7,Más del 50% de valores ausentes
d_com074,56.9359756097561,4,Más del 50% de valores ausentes
d_com073,56.9359756097561,4,Más del 50% de valores ausentes
d_com075,56.9359756097561,4,Más del 50% de valores ausentes
