variable,motivo
a035_01,Más del 50% de valores ausentes
a035_03,Más del 50% de valores ausentes
a035_04,Más del 50% de valores ausentes
a035_05,Más del 50% de valores ausentes
a035_06,Más del 50% de valores ausentes
addic,Más del 50% de valores ausentes
agriculture,Más del 50% de valores ausentes
annuity,Más del 50% de valores ausentes
assetinc,Más del 50% de valores ausentes
bb_adl_num1,Más del 50% de valores ausentes
bb_adl_num2,Más del 50% de valores ausentes
bm3,Más del 50% de valores ausentes
bm4,Más del 50% de valores ausentes
bm5,Más del 50% de valores ausentes
bm6,Más del 50% de valores ausentes
bp1_1,Más del 50% de valores ausentes
bp1_2,Más del 50% de valores ausentes
bp3,Más del 50% de valores ausentes
bp4,Más del 50% de valores ausentes
bp5,Más del 50% de valores ausentes
bp6,Más del 50% de valores ausentes
businessfarm,Más del 50% de valores ausentes
c007m,Más del 50% de valores ausentes
c007y,Más del 50% de valores ausentes
c012m,Más del 50% de valores ausentes
c012y,Más del 50% de valores ausentes
c017m,Más del 50% de valores ausentes
c017y,Más del 50% de valores ausentes
c024m,Más del 50% de valores ausentes
c024y,Más del 50% de valores ausentes
c034m,Más del 50% de valores ausentes
c034y,Más del 50% de valores ausentes
c039m,Más del 50% de valores ausentes
c039y,Más del 50% de valores ausentes
c044m,Más del 50% de valores ausentes
c044y,Más del 50% de valores ausentes
c049m,Más del 50% de valores ausentes
c049y,Más del 50% de valores ausentes
c064m,Más del 50% de valores ausentes
c064y,Más del 50% de valores ausentes
c111,Más del 50% de valores ausentes
c112,Más del 50% de valores ausentes
c124m,Más del 50% de valores ausentes
c124y,Más del 50% de valores ausentes
c126,Más del 50% de valores ausentes
c127,Más del 50% de valores ausentes
c128,Más del 50% de valores ausentes
c129,Más del 50% de valores ausentes
c130,Más del 50% de valores ausentes
c131,Más del 50% de valores ausentes
c132,Más del 50% de valores ausentes
c133,Más del 50% de valores ausentes
c134,Más del 50% de valores ausentes
c135,Más del 50% de valores ausentes
c304,Más del 50% de valores ausentes
c309,Más del 50% de valores ausentes
c311,Más del 50% de valores ausentes
c312,Más del 50% de valores ausentes
chronic_j,Más del 50% de valores ausentes
contact1,Más del 50% de valores ausentes
d_com001,Más del 50% de valores ausentes
d_com014,Más del 50% de valores ausentes
d_com015,Más del 50% de valores ausentes
d_com024,Más del 50% de valores ausentes
d_com025,Más del 50% de valores ausentes
d_com031,Más del 50% de valores ausentes
d_com032,Más del 50% de valores ausentes
d_com037,Más del 50% de valores ausentes
d_com049,Más del 50% de valores ausentes
d_com052,Más del 50% de valores ausentes
d_com053,Más del 50% de valores ausentes
d_com054,Más del 50% de valores ausentes
d_com055,Más del 50% de valores ausentes
d_com056,Más del 50% de valores ausentes
d_com057,Más del 50% de valores ausentes
d_com060,Más del 50% de valores ausentes
d_com066,Más del 50% de valores ausentes
d_com068,Más del 50% de valores ausentes
d_com073,Más del 50% de valores ausentes
d_com074,Más del 50% de valores ausentes
d_com075,Más del 50% de valores ausentes
d_com076,Más del 50% de valores ausentes
d_com077,Más del 50% de valores ausentes
d_com078,Más del 50% de valores ausentes
d_com079,Más del 50% de valores ausentes
d_com080,Más del 50% de valores ausentes
d_com081,Más del 50% de valores ausentes
d_com082,Más del 50% de valores ausentes
d_com084,Más del 50% de valores ausentes
d_com085,Más del 50% de valores ausentes
d_com089,Más del 50% de valores ausentes
d_com090,Más del 50% de valores ausentes
d_com092,Más del 50% de valores ausentes
d_com093,Más del 50% de valores ausentes
d_com095,Más del 50% de valores ausentes
d_com096,Más del 50% de valores ausentes
d_com097,Más del 50% de valores ausentes
d_com098,Más del 50% de valores ausentes
d_com101,Más del 50% de valores ausentes
d_com102,Más del 50% de valores ausentes
d_com104,Más del 50% de valores ausentes
d_com105,Más del 50% de valores ausentes
d_com106,Más del 50% de valores ausentes
d_com107,Más del 50% de valores ausentes
d_com108,Más del 50% de valores ausentes
d_com110,Más del 50% de valores ausentes
d_com118,Más del 50% de valores ausentes
d_com125,Más del 50% de valores ausentes
d_com130,Más del 50% de valores ausentes
d_com137,Más del 50% de valores ausentes
d_com138,Más del 50% de valores ausentes
d_com139m,Más del 50% de valores ausentes
d_com139y,Más del 50% de valores ausentes
d_com140,Más del 50% de valores ausentes
d_com142,Más del 50% de valores ausentes
d_com144,Más del 50% de valores ausentes
d_com145,Más del 50% de valores ausentes
d_com149,Más del 50% de valores ausentes
d_com157,Más del 50% de valores ausentes
earned,Más del 50% de valores ausentes
emp,Más del 50% de valores ausentes
exploit,Más del 50% de valores ausentes
f013_n,Más del 50% de valores ausentes
financial,Más del 50% de valores ausentes
financialasset,Más del 50% de valores ausentes
fromchildren,Más del 50% de valores ausentes
fromothers,Más del 50% de valores ausentes
fromparent,Más del 50% de valores ausentes
full_parttime,Más del 50% de valores ausentes
g003,Más del 50% de valores ausentes
g004,Más del 50% de valores ausentes
g008,Más del 50% de valores ausentes
g009,Más del 50% de valores ausentes
g010,Más del 50% de valores ausentes
g011,Más del 50% de valores ausentes
g012,Más del 50% de valores ausentes
guarantee,Más del 50% de valores ausentes
house_sum,Más del 50% de valores ausentes
ind,Más del 50% de valores ausentes
industrial,Más del 50% de valores ausentes
insurance,Más del 50% de valores ausentes
job,Más del 50% de valores ausentes
job_startm,Más del 50% de valores ausentes
job_starty,Más del 50% de valores ausentes
l_sum,Más del 50% de valores ausentes
livenear,Más del 50% de valores ausentes
livewithnm,Más del 50% de valores ausentes
n_days,Más del 50% de valores ausentes
national,Más del 50% de valores ausentes
oopm1,Más del 50% de valores ausentes
other,Más del 50% de valores ausentes
otherasset,Más del 50% de valores ausentes
particular,Más del 50% de valores ausentes
pensionins,Más del 50% de valores ausentes
personal,Más del 50% de valores ausentes
pliabilities,Más del 50% de valores ausentes
publictrans,Más del 50% de valores ausentes
realestate,Más del 50% de valores ausentes
realestateinc,Más del 50% de valores ausentes
regularins,Más del 50% de valores ausentes
residence,Más del 50% de valores ausentes
selfemployed,Más del 50% de valores ausentes
sideline,Más del 50% de valores ausentes
size_c,Más del 50% de valores ausentes
size_n,Más del 50% de valores ausentes
socialsecurity,Más del 50% de valores ausentes
socialwelfare,Más del 50% de valores ausentes
status,Más del 50% de valores ausentes
target1,Más del 50% de valores ausentes
