variable,tipo,tipo_pandas,valores_unicos,porcentaje_nulos
a003,categórica,int64,2,0.0
a030,categórica,int64,6,0.0
a032,categórica,int64,10,0.0
a035_02,categórica,float64,10,41.204268292682926
adl,categórica,int64,8,0.0
alc,categórica,int64,3,0.0
ba003,categórica,int64,10,0.0
ba075,categórica,float64,2,42.926829268292686
ba_resp,categórica,int64,2,0.0
bb_adl1,categórica,int64,2,0.0
bb_adl2,categórica,int64,2,0.0
bb_adl3,categórica,int64,2,0.0
bp1,categórica,int64,4,0.0
c001,categórica,int64,5,0.0
c003,categórica,int64,2,0.0
c005,categórica,int64,4,0.0
c056,categórica,int64,2,0.0
c068,categórica,float64,2,42.103658536585364
c081,categórica,float64,2,0.3048780487804878
c082,categórica,int64,2,0.0
c085,categórica,int64,2,0.0
c102,categórica,float64,2,37.45426829268293
c106,categórica,int64,5,0.0
c108,categórica,int64,2,0.0
c109,categórica,float64,5,39.55792682926829
c142,categórica,float64,4,0.6402439024390244
c143,categórica,float64,4,0.6402439024390244
c144,categórica,float64,4,0.6402439024390244
c145,categórica,float64,4,0.6402439024390244
c146,categórica,float64,4,0.6402439024390244
c147,categórica,float64,4,0.6402439024390244
c148,categórica,float64,4,0.6402439024390244
c149,categórica,float64,4,0.6402439024390244
c150,categórica,float64,4,0.6402439024390244
c151,categórica,float64,4,0.6402439024390244
c152,categórica,int64,5,0.0
c201,categórica,int64,3,0.0
c202,categórica,int64,3,0.0
c203,categórica,int64,3,0.0
c204,categórica,int64,3,0.0
c205,categórica,int64,3,0.0
c206,categórica,int64,3,0.0
c207,categórica,int64,3,0.0
c208,categórica,int64,3,0.0
c209,categórica,int64,3,0.0
c210,categórica,int64,3,0.0
c211,categórica,int64,3,0.0
c212,categórica,int64,3,0.0
c213,categórica,int64,3,0.0
c214,categórica,int64,3,0.0
c215,categórica,int64,3,0.0
c216,categórica,int64,3,0.0
c217,categórica,int64,3,0.0
c301,categórica,float64,2,0.12195121951219512
c302,categórica,float64,2,5.609756097560976
c303,categórica,float64,2,42.088414634146346
c305,categórica,float64,5,5.594512195121951
c310,categórica,float64,2,0.07621951219512195
c313,categórica,int64,2,0.0
c318,categórica,int64,10,0.0
c343,categórica,int64,2,0.0
c346,categórica,int64,2,0.0
c550,categórica,int64,2,0.0
chronic_a,categórica,int64,2,0.0
chronic_b,categórica,int64,2,0.0
chronic_c,categórica,int64,2,0.0
chronic_d,categórica,int64,2,0.0
chronic_f,categórica,int64,2,0.0
chronic_g,categórica,int64,3,0.0
chronic_h,categórica,int64,2,0.0
chronic_i,categórica,int64,2,0.0
chronic_sum,categórica,int64,7,0.0
contact2,categórica,float64,8,43.109756097560975
ea_resp,categórica,int64,2,0.0
ecoact_s,categórica,float64,5,5.716463414634147
edu,categórica,float64,4,0.04573170731707318
edu_s,categórica,float64,5,5.426829268292683
enu_type,categórica,int64,2,0.0
f001type,categórica,float64,5,0.04573170731707318
fam1,categórica,int64,5,0.0
gender1,categórica,int64,2,0.0
hhsize,categórica,int64,10,0.0
job_search,categórica,float64,2,43.170731707317074
labor_st,categórica,float64,3,47.39329268292683
livewith,categórica,float64,5,45.0
marital,categórica,int64,5,0.0
mniw_m,categórica,int64,5,0.0
panel_n,categórica,int64,6,0.0
present_ecotype,categórica,int64,3,0.0
present_labor,categórica,int64,2,0.0
region2,categórica,int64,2,0.0
region3,categórica,int64,3,0.0
residence_,categórica,float64,2,20.518292682926827
retired,categórica,float64,3,47.39329268292683
smoke,categórica,int64,3,0.0
a002_age,continua,int64,48,0.0
a002m,continua,int64,12,0.0
a002y,continua,int64,48,0.0
ba068,continua,float64,22,0.12195121951219512
bmi,continua,float64,1004,1.9054878048780488
c105,continua,float64,68,0.6402439024390244
c107,continua,float64,45,1.753048780487805
c306,continua,float64,53,35.91463414634146
c330,continua,float64,35,0.03048780487804878
c333,continua,int64,29,0.0
c334,continua,int64,43,0.0
c337,continua,float64,61,0.09146341463414635
c340,continua,float64,17,0.01524390243902439
g007,continua,float64,11,36.70731707317073
g026,continua,int64,11,0.0
g027,continua,int64,11,0.0
g028,continua,float64,11,17.286585365853657
g029,continua,float64,11,2.2560975609756095
g030,continua,int64,11,0.0
hhinc,continua,float64,261,6.570121951219512
iadl,continua,int64,11,0.0
mgrip,continua,float64,308,5.564024390243903
mniw_d,continua,int64,31,0.0
oopm2,continua,float64,350,22.698170731707318
passets,continua,float64,1167,34.19207317073171
pinc,continua,float64,1290,23.65853658536585
pnetassets,continua,float64,1298,32.545731707317074
region1,continua,int64,15,0.0
s_sum,continua,float64,12,0.24390243902439024
year2,continua,float64,61,0.5945121951219512
