variable,missing_count,missing_percentage,unique_values,dtype
g013,6560,100.0,0,float64
g014,6559,99.98,1,float64
a035_07,6559,99.98,1,float64
industrial,6556,99.94,3,float64
businessfarm,6554,99.91,6,float64
unemployment,6548,99.82,10,float64
personal,6545,99.77,15,float64
d_com108,6540,99.7,6,float64
g012,6525,99.47,9,float64
bb_adl_num3,6522,99.42,1,float64
d_com102,6522,99.42,18,float64
d_com101,6522,99.42,18,float64
d_com098,6519,99.38,2,float64
a035_06,6516,99.33,8,float64
exploit,6508,99.21,26,float64
d_com060,6508,99.21,2,float64
other,6502,99.12,33,float64
d_com138,6495,99.01,5,float64
d_com093,6485,98.86,4,float64
d_com095,6485,98.86,21,float64
l_sum,6484,98.84,3,float64
realestateinc,6476,98.72,40,float64
c135,6469,98.61,8,float64
c133,6461,98.49,11,float64
d_com110,6456,98.41,8,float64
d_com107,6455,98.4,2,float64
c024y,6452,98.35,36,float64
pensionins,6452,98.35,95,float64
c024m,6452,98.35,13,float64
guarantee,6448,98.29,45,float64
sideline,6444,98.23,36,float64
size_c,6435,98.09,11,float64
c044y,6430,98.02,24,float64
c044m,6430,98.02,13,float64
d_com105,6426,97.96,2,float64
fromothers,6426,97.96,44,float64
c017m,6419,97.85,13,float64
c017y,6419,97.85,23,float64
d_com118,6417,97.82,6,float64
d_com125,6417,97.82,4,float64
d_com130,6417,97.82,22,float64
d_com137,6417,97.82,5,float64
g011,6416,97.8,11,float64
c039m,6409,97.7,13,float64
c039y,6409,97.7,23,float64
fromparent,6407,97.67,19,float64
c064m,6399,97.55,13,float64
c064y,6399,97.55,20,float64
d_com106,6398,97.53,2,float64
particular,6397,97.52,57,float64
d_com068,6377,97.21,2,float64
d_com015,6361,96.97,30,float64
a035_05,6354,96.86,9,float64
toothers,6312,96.22,37,float64
d_com104,6293,95.93,2,float64
c034y,6279,95.72,26,float64
c034m,6279,95.72,13,float64
wholelifeins,6275,95.66,214,float64
house_sum,6251,95.29,66,float64
c309,6201,94.53,3,float64
a035_03,6191,94.38,10,float64
bp1_2,6160,93.9,3,float64
g010,6147,93.7,11,float64
regularins,6142,93.63,339,float64
d_com025,6106,93.08,17,float64
c131,6095,92.91,15,float64
bb_adl_num1,6074,92.59,5,float64
bb_adl_num2,6074,92.59,5,float64
f013_n,6050,92.23,67,float64
bp3,5991,91.33,3,float64
bp6,5991,91.33,10,float64
bp5,5991,91.33,10,float64
bp4,5991,91.33,4,float64
g003,5948,90.67,11,float64
national,5924,90.3,90,float64
agriculture,5919,90.23,61,float64
n_days,5897,89.89,52,float64
oopm1,5897,89.89,74,float64
c012m,5887,89.74,13,float64
c012y,5887,89.74,37,float64
target1,5883,89.68,2,float64
insurance,5881,89.65,485,float64
g004,5866,89.42,11,float64
g009,5790,88.26,11,float64
socialwelfare,5789,88.25,33,float64
annuity,5777,88.06,127,float64
tochildren,5736,87.44,114,float64
socialsecurity,5661,86.3,89,float64
d_com145,5653,86.17,7,float64
financial,5630,85.82,49,float64
toparent,5609,85.5,53,float64
assetinc,5572,84.94,86,float64
g008,5515,84.07,11,float64
