variable,role,source_wave,decision
pid,identifier,Constructed,Not used as ordinary predictor
a002_age,candidate_predictor,Wave 1,Pending EDA and feature selection
a002m,candidate_predictor,Wave 1,Pending EDA and feature selection
a002y,candidate_predictor,Wave 1,Pending EDA and feature selection
a003,candidate_predictor,Wave 1,Pending EDA and feature selection
a030,candidate_predictor,Wave 1,Pending EDA and feature selection
a032,candidate_predictor,Wave 1,Pending EDA and feature selection
a035_01,candidate_predictor,Wave 1,Pending EDA and feature selection
a035_02,candidate_predictor,Wave 1,Pending EDA and feature selection
a035_03,candidate_predictor,Wave 1,Pending EDA and feature selection
a035_04,candidate_predictor,Wave 1,Pending EDA and feature selection
a035_05,candidate_predictor,Wave 1,Pending EDA and feature selection
a035_06,candidate_predictor,Wave 1,Pending EDA and feature selection
a035_07,candidate_predictor,Wave 1,Pending EDA and feature selection
addic,candidate_predictor,Wave 1,Pending EDA and feature selection
adl,candidate_predictor,Wave 1,Pending EDA and feature selection
agriculture,candidate_predictor,Wave 1,Pending EDA and feature selection
alc,candidate_predictor,Wave 1,Pending EDA and feature selection
annuity,candidate_predictor,Wave 1,Pending EDA and feature selection
assetinc,candidate_predictor,Wave 1,Pending EDA and feature selection
ba003,candidate_predictor,Wave 1,Pending EDA and feature selection
ba068,candidate_predictor,Wave 1,Pending EDA and feature selection
ba075,candidate_predictor,Wave 1,Pending EDA and feature selection
ba_resp,candidate_predictor,Wave 1,Pending EDA and feature selection
bb_adl1,candidate_predictor,Wave 1,Pending EDA and feature selection
bb_adl2,candidate_predictor,Wave 1,Pending EDA and feature selection
bb_adl3,candidate_predictor,Wave 1,Pending EDA and feature selection
bb_adl_num1,candidate_predictor,Wave 1,Pending EDA and feature selection
bb_adl_num2,candidate_predictor,Wave 1,Pending EDA and feature selection
bb_adl_num3,candidate_predictor,Wave 1,Pending EDA and feature selection
bm3,candidate_predictor,Wave 1,Pending EDA and feature selection
bm4,candidate_predictor,Wave 1,Pending EDA and feature selection
bm5,candidate_predictor,Wave 1,Pending EDA and feature selection
bm6,candidate_predictor,Wave 1,Pending EDA and feature selection
bmi,candidate_predictor,Wave 1,Pending EDA and feature selection
bp1,candidate_predictor,Wave 1,Pending EDA and feature selection
bp1_1,candidate_predictor,Wave 1,Pending EDA and feature selection
bp1_2,candidate_predictor,Wave 1,Pending EDA and feature selection
bp3,candidate_predictor,Wave 1,Pending EDA and feature selection
bp4,candidate_predictor,Wave 1,Pending EDA and feature selection
bp5,candidate_predictor,Wave 1,Pending EDA and feature selection
bp6,candidate_predictor,Wave 1,Pending EDA and feature selection
businessfarm,candidate_predictor,Wave 1,Pending EDA and feature selection
c001,candidate_predictor,Wave 1,Pending EDA and feature selection
c003,candidate_predictor,Wave 1,Pending EDA and feature selection
c005,candidate_predictor,Wave 1,Pending EDA and feature selection
c007m,candidate_predictor,Wave 1,Pending EDA and feature selection
c007y,candidate_predictor,Wave 1,Pending EDA and feature selection
c012m,candidate_predictor,Wave 1,Pending EDA and feature selection
c012y,candidate_predictor,Wave 1,Pending EDA and feature selection
c017m,candidate_predictor,Wave 1,Pending EDA and feature selection
c017y,candidate_predictor,Wave 1,Pending EDA and feature selection
c024m,candidate_predictor,Wave 1,Pending EDA and feature selection
c024y,candidate_predictor,Wave 1,Pending EDA and feature selection
c034m,candidate_predictor,Wave 1,Pending EDA and feature selection
c034y,candidate_predictor,Wave 1,Pending EDA and feature selection
c039m,candidate_predictor,Wave 1,Pending EDA and feature selection
c039y,candidate_predictor,Wave 1,Pending EDA and feature selection
c044m,candidate_predictor,Wave 1,Pending EDA and feature selection
c044y,candidate_predictor,Wave 1,Pending EDA and feature selection
c049m,candidate_predictor,Wave 1,Pending EDA and feature selection
c049y,candidate_predictor,Wave 1,Pending EDA and feature selection
c056,candidate_predictor,Wave 1,Pending EDA and feature selection
c064m,candidate_predictor,Wave 1,Pending EDA and feature selection
c064y,candidate_predictor,Wave 1,Pending EDA and feature selection
c068,candidate_predictor,Wave 1,Pending EDA and feature selection
c081,candidate_predictor,Wave 1,Pending EDA and feature selection
c082,candidate_predictor,Wave 1,Pending EDA and feature selection
c085,candidate_predictor,Wave 1,Pending EDA and feature selection
c102,candidate_predictor,Wave 1,Pending EDA and feature selection
c105,candidate_predictor,Wave 1,Pending EDA and feature selection
c106,candidate_predictor,Wave 1,Pending EDA and feature selection
c107,candidate_predictor,Wave 1,Pending EDA and feature selection
c108,candidate_predictor,Wave 1,Pending EDA and feature selection
c109,candidate_predictor,Wave 1,Pending EDA and feature selection
c111,candidate_predictor,Wave 1,Pending EDA and feature selection
c112,candidate_predictor,Wave 1,Pending EDA and feature selection
c124m,candidate_predictor,Wave 1,Pending EDA and feature selection
c124y,candidate_predictor,Wave 1,Pending EDA and feature selection
c126,candidate_predictor,Wave 1,Pending EDA and feature selection
c127,candidate_predictor,Wave 1,Pending EDA and feature selection
c128,candidate_predictor,Wave 1,Pending EDA and feature selection
c129,candidate_predictor,Wave 1,Pending EDA and feature selection
c130,candidate_predictor,Wave 1,Pending EDA and feature selection
c131,candidate_predictor,Wave 1,Pending EDA and feature selection
c132,candidate_predictor,Wave 1,Pending EDA and feature selection
c133,candidate_predictor,Wave 1,Pending EDA and feature selection
c134,candidate_predictor,Wave 1,Pending EDA and feature selection
c135,candidate_predictor,Wave 1,Pending EDA and feature selection
c142,candidate_predictor,Wave 1,Pending EDA and feature selection
c143,candidate_predictor,Wave 1,Pending EDA and feature selection
c144,candidate_predictor,Wave 1,Pending EDA and feature selection
c145,candidate_predictor,Wave 1,Pending EDA and feature selection
c146,candidate_predictor,Wave 1,Pending EDA and feature selection
c147,candidate_predictor,Wave 1,Pending EDA and feature selection
c148,candidate_predictor,Wave 1,Pending EDA and feature selection
c149,candidate_predictor,Wave 1,Pending EDA and feature selection
c150,candidate_predictor,Wave 1,Pending EDA and feature selection
c151,candidate_predictor,Wave 1,Pending EDA and feature selection
c152,candidate_predictor,Wave 1,Pending EDA and feature selection
c201,candidate_predictor,Wave 1,Pending EDA and feature selection
c202,candidate_predictor,Wave 1,Pending EDA and feature selection
